ZSCAN12	A2ML1	SBSN	ASAH1	ALOXE3	LOR	CPA4	ME1	IVL	ECM1	CALML3	EVPL	SERPINA12	KPRP	CST6	TGM1	ALOX12B	HAL	EPPK1	GSDMA	PGK2	DMKN	RNASE7	CPM	CTSL2	FLG	NCCRP1	IL1F7																																																																																																																																										
NDST1	TAZ	NAAA	PLAUR	LRRC33	CD83																																																																																																																																																																
C6orf211	FGB	RCAN3	NFKBIA	SNRNP27	RWDD2B	RCAN1	RCAN2	FAM153B	NKD2																																																																																																																																																												
SENP1	SKP2	IL13RA2	F9	SIRT6	ARL11	BLK	PROZ	LRP1	TRMT1																																																																																																																																																												
CST5	SNRPF	PLEKHG6	ZNF491	RHOBTB1	FRMD1	RCAN1	KIR2DS2																																																																																																																																																														
PEX6	DKKL1	CD79A	OLFM2	TMEM25	IMPDH1	KBTBD4	THBS3	PSMC3	ENSA																																																																																																																																																												
ZNF211	NT5DC3	EHMT2	TRIM37	ZNF416	SMARCAD1	STRN4	USP34																																																																																																																																																														
HBB	SEMG2	AGA	FRMD1	GSTT1	PLXNB1	PNKP	TMEM92	DHRS2	GDPD1	MSL2	HIST1H2BJ	GK	PSMC5	PGPEP1	HSPA8	C20orf7	APCDD1	SLC2A14	JOSD2	LPAR2	MGAT4B	MDM4	CYTIP	KIAA1467	COPS3	DACH1	PNPLA1	MAPK6	UPF3A	BMP5	GRID1																																																																																																																																						
GSTM5	ARFGAP1	ERLIN2	GSTM3	GSTM2	GSTM4																																																																																																																																																																
SLC6A8	YIPF3	NT5E	AGTR1	PTGIR	TPRA1	GRPR																																																																																																																																																															
NDUFB1	NDUFS3	C3AR1	NDUFA8	NDUFB11	ECSIT	SPPL2B	NDUFS6	NDUFB5																																																																																																																																																													
SMG6	LPIN3	PSG1	SPATA1	C2orf68	C9orf128	HAO2																																																																																																																																																															
SMN2	SNRPF	SNRPG	GEMIN6	SNRNP70	GEMIN8	SNRPE	SMN1	STRAP	DDX20																																																																																																																																																												
ZNF394	ZSCAN20	ZNF434	CTNNBL1	ZNF397	SCAND1																																																																																																																																																																
NAAA	LOC100510688	SYVN1	UGDH	NDST1	FUT11	EDEM2	MAN2B2	GALNS	TUBA4A	ARSB	MANEAL	TUBB8	CYB5R1	POGLUT1	TMEM132A	OAF	ITGAV	DCBLD2	SEC23IP	OS9	ERF	PCSK5	EDEM1	ITGA4	NRP2	BMP7	CNTNAP3	EXT1	TMEM2	TCTN1	TTC17	PLTP	SIAE	SULF2	ARSK	NAGLU																																																																																																																																	
RPL13A	CNBP	RRS1	KIAA0020	RBM34	SART3																																																																																																																																																																
PDCD10	BMP7	TRAF3IP3	FGFR1OP2	C10orf47	SLMAP	CTTNBP2NL	STK25	MST4	STK24	C4orf19	ATP6V1C2	SNRNP27	FAM40A	STRN3	STRN4	SIKE1	STRN	FAM174A	GTF2E2																																																																																																																																																		
PPP2R5E	C1QL4	VSIG1	ZNF785	CDK17	DCAF11	PRR14	TMEM206	CRIP1	FAM43A	WNT3A	LPAR4	DCLRE1C	CCNG1	GJB7	C19orf57	KLF15	RPS27	PPP2CB	MOS	VTI1B	ZNF517	DNASE2B	CCNG2	ZFPL1																																																																																																																																													
CAND2	SCN2B	NPY2R	LPAR4	CHRM4	EPHA1	EFNB2	PTGER3	SDC2	CD244	FZD10	HTR2C	VTI1B	ADORA3	BSG	ALDH3A2	TMEM108	TNFSF13B	ARHGAP36	FAM174A	C19orf75	CHRM3																																																																																																																																																
ZNF274	MRPS14	MDM2	HIST1H1A	RPS27A	MRPL27	C7orf30	RPL26L1	TRIM28																																																																																																																																																													
NDUFAF4	NDUFA13	NDUFS3	ECSIT	NDUFS7																																																																																																																																																																	
PRKAA2	PRKAG1	DCLRE1C	PRKAG3	STIM2	PRKAG2	PRKAB1	PRKAB2	CTNNA3																																																																																																																																																													
