rnaseq_profile_id,donor_id,organism,donor_age,genotype_driver,genotype_reporter,cell_reporter,cell_prep_sample_id,sampling_region,sample_id,sample_type,facs_well,facs_container,rna_amplification,rna_amplification_set,amplified_quantity_ng,library_prep,library_prep_set,library_prep_avg_size_bp,library_prep_quantification_fmol,tube_sent_for_sequencing,batch_sent_for_sequencing,rnaseq_profile_total_reads,rnaseq_profile_percent_reads_aligned_to_mrna,rnaseq_profile_percent_reads_aligned_to_ncrna,rnaseq_profile_percent_reads_aligned_to_genome_only,rnaseq_profile_percent_reads_aligned_to_synthetic_constructs,rnaseq_profile_percent_reads_aligned_to_ecoli,rnaseq_profile_percent_reads_not_aligned,fpkm>0_gene_count,fpkm>1_gene_count,fpkm>4_gene_count,fpkm>8_gene_count,fpkm>16_gene_count,fpkm>32_gene_count,fpkm>64_gene_count
507204963,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132078,cell,F2S4_160202_011_E01,F2S4_160202_011,A8S4_160209_02_E05,A8S4_160209_02,10.5253945,L8S4_160216_02_E05,L8S4_160216_02,542,102.0781511,LS-15012,RSC-012,2266216,54.6,3.85,12.6,0.0322,2.15,26.7678,10686,8847,7017,5692,4022,2571,1512
507204965,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132072,cell,F2S4_160202_011_D01,F2S4_160202_011,A8S4_160209_02_D05,A8S4_160209_02,9.451614589,L8S4_160216_02_D05,L8S4_160216_02,547,118.0513833,LS-15012,RSC-012,2492037,55.3,3.94,13.5,0.0659,2.32,24.8741,10672,8904,7173,6041,4429,2875,1709
507204967,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132066,cell,F2S4_160202_011_C01,F2S4_160202_011,A8S4_160209_02_C05,A8S4_160209_02,11.51922876,L8S4_160216_02_C05,L8S4_160216_02,445,173.2483478,LS-15012,RSC-012,2429068,53.2,3.14,16,0.0312,1.99,25.6388,11302,9483,7527,6106,4388,2788,1658
507204969,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132060,cell,F2S4_160202_011_B01,F2S4_160202_011,A8S4_160209_02_B05,A8S4_160209_02,6.775786394,L8S4_160216_02_B05,L8S4_160216_02,529,116.5847493,LS-15012,RSC-012,2589083,44.3,4.5,18.5,0.0544,3.27,29.3756,10154,8400,6742,5676,4365,2798,1621
507204971,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132054,cell,F2S4_160202_011_A01,F2S4_160202_011,A8S4_160209_02_A05,A8S4_160209_02,7.398108475,L8S4_160216_02_A05,L8S4_160216_02,514,116.6801929,LS-15012,RSC-012,2678367,45,4.07,19.6,0.0384,2.9,28.3916,10044,8223,6603,5596,4389,2925,1703
507204973,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132048,cell,F2S4_160202_010_H01,F2S4_160202_010,A8S4_160209_02_H04,A8S4_160209_02,5.712195632,L8S4_160216_02_H04,L8S4_160216_02,471,180.6586186,LS-15012,RSC-012,2674675,42,4.51,20.7,0.0676,4.56,28.1624,9671,7999,6440,5466,4302,2963,1706
507204975,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132042,cell,F2S4_160202_010_G01,F2S4_160202_010,A8S4_160209_02_G04,A8S4_160209_02,5.126711255,L8S4_160216_02_G04,L8S4_160216_02,549,78.48817596,LS-15012,RSC-012,2574921,39.1,3.77,20.8,0.0454,5.85,30.4346,9279,7691,6175,5333,4235,3096,1796
507204977,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132036,cell,F2S4_160202_010_F01,F2S4_160202_010,A8S4_160209_02_F04,A8S4_160209_02,7.98202529,L8S4_160216_02_F04,L8S4_160216_02,544,103.0379698,LS-15012,RSC-012,2545133,47.9,3.25,17.2,0.0289,3.49,28.1311,10736,8963,7131,5974,4578,2892,1705
507204979,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132030,cell,F2S4_160202_010_E01,F2S4_160202_010,A8S4_160209_02_E04,A8S4_160209_02,6.424652524,L8S4_160216_02_E04,L8S4_160216_02,526,123.8445186,LS-15012,RSC-012,1860202,46.6,2.95,17.1,0.0648,4.57,28.7152,9423,8017,6515,5538,4346,2907,1747
507204981,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132024,cell,F2S4_160202_010_D01,F2S4_160202_010,A8S4_160209_02_D04,A8S4_160209_02,3.982391054,L8S4_160216_02_D04,L8S4_160216_02,497,130.5986824,LS-15012,RSC-012,2446225,46.7,3.31,15.7,0.0762,6.74,27.4738,8772,7222,5894,5160,4200,3099,1841
507204983,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132018,cell,F2S4_160202_010_C01,F2S4_160202_010,A8S4_160209_02_C04,A8S4_160209_02,6.054707911,L8S4_160216_02_C04,L8S4_160216_02,512,105.4652829,LS-15012,RSC-012,2423048,46.3,3.63,16.6,0.0753,4.86,28.5347,9195,7681,6261,5397,4344,3016,1786
507204985,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929545,Mouse ALM - L2/3,527132012,cell,F2S4_160202_010_B01,F2S4_160202_010,A8S4_160209_02_B04,A8S4_160209_02,4.554551155,L8S4_160216_02_B04,L8S4_160216_02,519,101.9632292,LS-15012,RSC-012,2651419,36.4,3.93,19.3,0.0616,5.25,35.0584,8980,7464,6031,5192,4171,3041,1816
