rnaseq_profile_id,donor_id,organism,donor_age,genotype_driver,genotype_reporter,cell_reporter,cell_prep_sample_id,sampling_region,sample_id,sample_type,facs_well,facs_container,rna_amplification,rna_amplification_set,amplified_quantity_ng,library_prep,library_prep_set,library_prep_avg_size_bp,library_prep_quantification_fmol,tube_sent_for_sequencing,batch_sent_for_sequencing,rnaseq_profile_total_reads,rnaseq_profile_percent_reads_aligned_to_mrna,rnaseq_profile_percent_reads_aligned_to_ncrna,rnaseq_profile_percent_reads_aligned_to_genome_only,rnaseq_profile_percent_reads_aligned_to_synthetic_constructs,rnaseq_profile_percent_reads_aligned_to_ecoli,rnaseq_profile_percent_reads_not_aligned,fpkm>0_gene_count,fpkm>1_gene_count,fpkm>4_gene_count,fpkm>8_gene_count,fpkm>16_gene_count,fpkm>32_gene_count,fpkm>64_gene_count
507204847,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132439,cell,F2S4_160204_023_G01,F2S4_160204_023,A8S4_160209_02_G12,A8S4_160209_02,5.004441425,L8S4_160216_02_G12,L8S4_160216_02,381,263.8918759,LS-15012,RSC-012,2746773,43.4,4.28,19.6,0.0781,5.59,27.0519,9384,7713,6239,5338,4258,3031,1721
507204849,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132433,cell,F2S4_160204_023_F01,F2S4_160204_023,A8S4_160209_02_F12,A8S4_160209_02,3.069286237,L8S4_160216_02_F12,L8S4_160216_02,404,255.5401392,LS-15012,RSC-012,2808262,57.7,2.65,7.61,0.156,9.09,22.794,7441,6010,5190,4684,4059,3269,2024
507204851,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132427,cell,F2S4_160204_023_E01,F2S4_160204_023,A8S4_160209_02_E12,A8S4_160209_02,4.462848783,L8S4_160216_02_E12,L8S4_160216_02,393,254.9103212,LS-15012,RSC-012,2911476,44.5,4.92,17.7,0.0745,5.85,26.9555,9289,7547,6101,5276,4276,3073,1729
507204853,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132421,cell,F2S4_160204_023_D01,F2S4_160204_023,A8S4_160209_02_D12,A8S4_160209_02,5.146305779,L8S4_160216_02_D12,L8S4_160216_02,482,155.2639561,LS-15012,RSC-012,2707500,46.4,3.87,16.2,0.0672,4.78,28.6828,9502,7788,6335,5417,4295,2973,1758
507204855,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132415,cell,F2S4_160204_023_C01,F2S4_160204_023,A8S4_160209_02_C12,A8S4_160209_02,4.931549796,L8S4_160216_02_C12,L8S4_160216_02,377,230.2159898,LS-15012,RSC-012,2769608,39.8,4.28,21.2,0.0852,4.86,29.7748,9332,7704,6168,5269,4233,3007,1716
507204857,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132409,cell,F2S4_160204_023_B01,F2S4_160204_023,A8S4_160209_02_B12,A8S4_160209_02,5.336764552,L8S4_160216_02_B12,L8S4_160216_02,424,204.5802942,LS-15012,RSC-012,2731075,44.3,4.04,18.4,0.0663,4.78,28.4137,9648,7842,6387,5458,4355,2889,1633
507204859,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132403,cell,F2S4_160204_023_A01,F2S4_160204_023,A8S4_160209_02_A12,A8S4_160209_02,4.227714495,L8S4_160216_02_A12,L8S4_160216_02,388,240.900081,LS-15012,RSC-012,2576375,38,4.24,22.8,0.0811,5.18,29.6989,8585,7073,5706,4882,3952,2909,1724
507204877,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132373,cell,F2S4_160204_022_H01,F2S4_160204_022,A8S4_160209_02_H10,A8S4_160209_02,3.789580938,L8S4_160216_02_H10,L8S4_160216_02,468,167.0093375,LS-15012,RSC-012,2562516,39.7,4.09,21.2,0.105,5.62,29.285,8468,6897,5624,4886,4019,2992,1837
507204879,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132367,cell,F2S4_160204_022_G01,F2S4_160204_022,A8S4_160209_02_G10,A8S4_160209_02,6.376841885,L8S4_160216_02_G10,L8S4_160216_02,501,132.0490708,LS-15012,RSC-012,2964419,55.9,3.27,12,0.0561,3.4,25.3739,9653,7877,6491,5557,4341,2861,1708
507204881,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132361,cell,F2S4_160204_022_F01,F2S4_160204_022,A8S4_160209_02_F10,A8S4_160209_02,3.083394294,L8S4_160216_02_F10,L8S4_160216_02,432,205.7121292,LS-15012,RSC-012,3165058,40.3,4.02,20.1,0.13,7.22,28.23,8531,6861,5542,4818,4034,3075,2037
507204883,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132355,cell,F2S4_160204_022_E01,F2S4_160204_022,A8S4_160209_02_E10,A8S4_160209_02,4.584334831,L8S4_160216_02_E10,L8S4_160216_02,421,222.0312433,LS-15012,RSC-012,2807717,47.2,3.67,17.5,0.0843,4.74,26.8057,9259,7441,5993,5157,4126,2883,1720
507204885,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132349,cell,F2S4_160204_022_D01,F2S4_160204_022,A8S4_160209_02_D10,A8S4_160209_02,4.316281743,L8S4_160216_02_D10,L8S4_160216_02,460,202.7475406,LS-15012,RSC-012,2723031,55.7,3.85,12.3,0.149,4.76,23.241,8915,7229,6051,5294,4307,3110,1822
507204887,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132342,cell,F2S4_160204_022_C01,F2S4_160204_022,A8S4_160209_02_C10,A8S4_160209_02,4.258281952,L8S4_160216_02_C10,L8S4_160216_02,414,207.5255435,LS-15012,RSC-012,2834295,39,4.75,21.6,0.085,5.02,29.545,9392,7644,6115,5211,4100,2862,1613
507204889,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768182,Mouse ALM - L5,527132336,cell,F2S4_160204_022_B01,F2S4_160204_022,A8S4_160209_02_B10,A8S4_160209_02,4.821036681,L8S4_160216_02_B10,L8S4_160216_02,435,197.9452482,LS-15012,RSC-012,2720868,42.4,5.21,21.2,0.0789,4.51,26.6011,9142,7544,6134,5281,4246,2985,1667
507204891,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503768239,Mouse ALM - L6,527132330,cell,F2S4_160204_022_A01,F2S4_160204_022,A8S4_160209_02_A10,A8S4_160209_02,7.566621382,L8S4_160216_02_A10,L8S4_160216_02,439,190.7546677,LS-15012,RSC-012,2907150,45.7,4.95,20.3,0.0656,3.07,25.9144,10373,8463,6771,5683,4340,2717,1582
507204893,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132324,cell,F2S4_160204_014_H01,F2S4_160204_014,A8S4_160209_02_H09,A8S4_160209_02,5.492736963,L8S4_160216_02_H09,L8S4_160216_02,577,96.58623588,LS-15012,RSC-012,2575900,53.7,3.34,13.1,0.134,4.54,25.186,8964,7397,6173,5439,4474,3050,1780
507204895,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132318,cell,F2S4_160204_014_G01,F2S4_160204_014,A8S4_160209_02_G09,A8S4_160209_02,5.51468283,L8S4_160216_02_G09,L8S4_160216_02,554,101.4413308,LS-15012,RSC-012,2556804,64.1,3.09,7.08,0.0771,4.75,20.9029,8872,7221,6034,5259,4260,3003,1846
507204897,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132312,cell,F2S4_160204_014_F01,F2S4_160204_014,A8S4_160209_02_F09,A8S4_160209_02,3.907931863,L8S4_160216_02_F09,L8S4_160216_02,541,55.87140406,LS-15012,RSC-012,3407836,38.8,4.53,19.8,0.0759,6.72,30.0741,8928,7157,5730,4962,4088,2967,1727
507204899,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132305,cell,F2S4_160204_014_E01,F2S4_160204_014,A8S4_160209_02_E09,A8S4_160209_02,3.534068346,L8S4_160216_02_E09,L8S4_160216_02,507,134.283303,LS-15012,RSC-012,2657437,42.9,4.11,17.7,0.119,7.04,28.131,8060,6556,5411,4713,3929,2957,1816
507204901,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132299,cell,F2S4_160204_014_D01,F2S4_160204_014,A8S4_160209_02_D09,A8S4_160209_02,4.438551573,L8S4_160216_02_D09,L8S4_160216_02,519,109.3389871,LS-15012,RSC-012,2586612,36.9,4.85,22.7,0.0899,6.25,29.2101,8382,6815,5526,4777,3936,2946,1734
507204903,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132292,cell,F2S4_160204_014_C01,F2S4_160204_014,A8S4_160209_02_C09,A8S4_160209_02,4.005904483,L8S4_160216_02_C09,L8S4_160216_02,442,167.029354,LS-15012,RSC-012,2654098,44,5.22,17.6,0.0958,6.2,26.8842,8455,6824,5538,4796,3912,2854,1692
507204905,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132285,cell,F2S4_160204_014_B01,F2S4_160204_014,A8S4_160209_02_B09,A8S4_160209_02,6.027275577,L8S4_160216_02_B09,L8S4_160216_02,460,135.9887096,LS-15012,RSC-012,2346257,42.1,4.88,18.6,0.0602,5.54,28.8198,9083,7558,6167,5268,4239,2972,1699
507204907,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132278,cell,F2S4_160204_014_A01,F2S4_160204_014,A8S4_160209_02_A09,A8S4_160209_02,4.888441843,L8S4_160216_02_A09,L8S4_160216_02,461,165.1369232,LS-15012,RSC-012,2994783,45,4.23,18.9,0.1,5.57,26.2,8633,6936,5665,4889,4003,2926,1704
507204909,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132266,cell,F2S4_160204_013_H01,F2S4_160204_013,A8S4_160209_02_H08,A8S4_160209_02,3.696311004,L8S4_160216_02_H08,L8S4_160216_02,554,71.86432536,LS-15012,RSC-012,2266371,44,4.47,16.3,0.172,6.67,28.388,7617,6253,5163,4525,3795,2882,1769
507204911,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132259,cell,F2S4_160204_013_G01,F2S4_160204_013,A8S4_160209_02_G08,A8S4_160209_02,4.429929982,L8S4_160216_02_G08,L8S4_160216_02,561,69.2965315,LS-15012,RSC-012,2322784,41.4,4.63,19.9,0.115,5.31,28.645,8405,7001,5622,4882,3958,2917,1712
507204913,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132252,cell,F2S4_160204_013_F01,F2S4_160204_013,A8S4_160209_02_F08,A8S4_160209_02,4.41190302,L8S4_160216_02_F08,L8S4_160216_02,573,73.51206751,LS-15012,RSC-012,2481533,39.5,4.69,21.2,0.0777,5,29.5323,9158,7581,6108,5258,4311,3075,1744
507204915,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132245,cell,F2S4_160204_013_E01,F2S4_160204_013,A8S4_160209_02_E08,A8S4_160209_02,4.045877312,L8S4_160216_02_E08,L8S4_160216_02,475,123.8849018,LS-15012,RSC-012,2504223,51.9,3.86,12.1,0.107,6.54,25.493,8120,6606,5445,4823,3986,3007,1795
507204917,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132234,cell,F2S4_160204_013_D01,F2S4_160204_013,A8S4_160209_02_D08,A8S4_160209_02,3.672013795,L8S4_160216_02_D08,L8S4_160216_02,540,80.98424306,LS-15012,RSC-012,2601898,48.5,3.77,14.4,0.116,6.59,26.624,8224,6658,5486,4827,4093,3121,1840
507204919,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132226,cell,F2S4_160204_013_C01,F2S4_160204_013,A8S4_160209_02_C08,A8S4_160209_02,2.682882224,L8S4_160216_02_C08,L8S4_160216_02,432,147.4294469,LS-15012,RSC-012,2735537,32.5,4.42,24.4,0.0868,8.77,29.8232,7770,6255,5043,4435,3687,2823,1915
507204921,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132219,cell,F2S4_160204_013_B01,F2S4_160204_013,A8S4_160209_02_B08,A8S4_160209_02,3.360068973,L8S4_160216_02_B08,L8S4_160216_02,550,92.80298772,LS-15012,RSC-012,2534203,38,4.46,20.7,0.0927,6.77,29.9773,8036,6618,5365,4686,3836,2921,1799
507204923,501486431,Mus musculus,P54,Vip-IRES-Cre,Ai14,cre reporter positive,503767129,Mouse ALM - L2/3,527132212,cell,F2S4_160204_013_A01,F2S4_160204_013,A8S4_160209_02_A08,A8S4_160209_02,4.946441634,L8S4_160216_02_A08,L8S4_160216_02,488,147.7351239,LS-15012,RSC-012,2808797,37.4,4.42,23.5,0.0647,4.72,29.8953,9346,7737,6227,5312,4320,3069,1714
507204925,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132206,cell,F2S4_160202_013_H01,F2S4_160202_013,A8S4_160209_02_H07,A8S4_160209_02,11.44241823,L8S4_160216_02_H07,L8S4_160216_02,449,175.0851939,LS-15012,RSC-012,2320443,54.4,4.46,14.3,0.0662,3.03,23.7438,10228,8557,6938,5843,4397,2801,1696
507204927,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132200,cell,F2S4_160202_013_G01,F2S4_160202_013,A8S4_160209_02_G07,A8S4_160209_02,5.110251855,L8S4_160216_02_G07,L8S4_160216_02,473,174.6965685,LS-15012,RSC-012,2142089,41.7,4.08,22,0.0618,4.96,27.1982,8954,7516,6111,5271,4208,3102,1764
507204929,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132194,cell,F2S4_160202_013_F01,F2S4_160202_013,A8S4_160209_02_F07,A8S4_160209_02,4.339011391,L8S4_160216_02_F07,L8S4_160216_02,564,84.17730395,LS-15012,RSC-012,2765980,42.6,3.97,18.6,0.0559,5.31,29.4641,9381,7679,6253,5401,4385,3176,1808
507204931,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132188,cell,F2S4_160202_013_E01,F2S4_160202_013,A8S4_160209_02_E07,A8S4_160209_02,6.777353955,L8S4_160216_02_E07,L8S4_160216_02,482,161.2165637,LS-15012,RSC-012,2740906,47.1,3.87,18.7,0.0418,3.34,26.9482,10478,8692,6992,5908,4581,2898,1720
507204933,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132182,cell,F2S4_160202_013_D01,F2S4_160202_013,A8S4_160209_02_D07,A8S4_160209_02,4.813198871,L8S4_160216_02_D07,L8S4_160216_02,483,177.9097933,LS-15012,RSC-012,2592841,43.4,3.79,19.8,0.07,5.14,27.8,9676,7954,6466,5580,4472,3161,1809
507204935,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132175,cell,F2S4_160202_013_C01,F2S4_160202_013,A8S4_160209_02_C07,A8S4_160209_02,14.55794754,L8S4_160216_02_C07,L8S4_160216_02,476,142.1999359,LS-15012,RSC-012,2598266,45.7,3.49,15,0.0369,1.56,34.2131,11388,9666,7698,6321,4544,2873,1724
507204937,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929560,Mouse ALM - L6,527132169,cell,F2S4_160202_013_B01,F2S4_160202_013,A8S4_160209_02_B07,A8S4_160209_02,12.03103773,L8S4_160216_02_B07,L8S4_160216_02,566,101.556645,LS-15012,RSC-012,2537835,54.3,3.56,14.1,0.0535,2.03,25.9565,11301,9445,7547,6100,4375,2796,1663
507204939,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132160,cell,F2S4_160202_013_A01,F2S4_160202_013,A8S4_160209_02_A07,A8S4_160209_02,16.61302121,L8S4_160216_02_A07,L8S4_160216_02,567,118.0211863,LS-15012,RSC-012,3242548,60.6,2.99,11.1,0.042,1.6,23.668,11947,9761,7741,6099,4320,2793,1676
507204941,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132150,cell,F2S4_160202_012_H01,F2S4_160202_012,A8S4_160209_02_H06,A8S4_160209_02,7.059515101,L8S4_160216_02_H06,L8S4_160216_02,482,137.1733183,LS-15012,RSC-012,2425291,45.1,4.49,18.6,0.0468,4.25,27.5132,9506,7881,6395,5469,4322,2981,1723
507204943,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132143,cell,F2S4_160202_012_G01,F2S4_160202_012,A8S4_160209_02_G06,A8S4_160209_02,7.007001777,L8S4_160216_02_G06,L8S4_160216_02,537,87.13006917,LS-15012,RSC-012,2481528,51.3,3.25,14.6,0.0521,4.44,26.3579,9553,7881,6436,5548,4392,3047,1812
507204945,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132136,cell,F2S4_160202_012_F01,F2S4_160202_012,A8S4_160209_02_F06,A8S4_160209_02,11.11950047,L8S4_160216_02_F06,L8S4_160216_02,577,91.0232858,LS-15012,RSC-012,2795727,60.5,3.87,9.98,0.0458,2.4,23.2042,10796,8929,7290,6096,4462,2894,1756
507204947,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132130,cell,F2S4_160202_012_E01,F2S4_160202_012,A8S4_160209_02_E06,A8S4_160209_02,3.824067301,L8S4_160216_02_E06,L8S4_160216_02,581,88.33785385,LS-15012,RSC-012,2644171,41.8,4.06,18.3,0.0704,6.32,29.4496,8505,6958,5593,4892,4047,3021,1863
507204949,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132122,cell,F2S4_160202_012_D01,F2S4_160202_012,A8S4_160209_02_D06,A8S4_160209_02,7.347162713,L8S4_160216_02_D06,L8S4_160216_02,461,156.9649215,LS-15012,RSC-012,2727484,50.8,3.59,16.5,0.0485,3.29,25.7715,10048,8252,6641,5716,4456,2951,1765
507204951,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132115,cell,F2S4_160202_012_C01,F2S4_160202_012,A8S4_160209_02_C06,A8S4_160209_02,11.4392831,L8S4_160216_02_C06,L8S4_160216_02,485,142.5137905,LS-15012,RSC-012,2597925,55.6,4.28,13.3,0.043,1.77,25.007,11204,9287,7381,6082,4373,2791,1650
507204953,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132109,cell,F2S4_160202_012_B01,F2S4_160202_012,A8S4_160209_02_B06,A8S4_160209_02,4.703469537,L8S4_160216_02_B06,L8S4_160216_02,446,169.2894621,LS-15012,RSC-012,2742446,33.1,4.08,27.2,0.0428,5,30.5772,9216,7678,6146,5257,4172,2974,1742
507204955,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132103,cell,F2S4_160202_012_A01,F2S4_160202_012,A8S4_160209_02_A06,A8S4_160209_02,20.721601,L8S4_160216_02_A06,L8S4_160216_02,564,157.3805848,LS-15012,RSC-012,3111447,69.3,2.96,8.96,0.0551,0.899,17.8259,12308,10232,8177,6436,4605,2930,1663
507204957,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132097,cell,F2S4_160202_011_H01,F2S4_160202_011,A8S4_160209_02_H05,A8S4_160209_02,5.647925593,L8S4_160216_02_H05,L8S4_160216_02,495,125.3870567,LS-15012,RSC-012,2409912,37.6,3.81,24.9,0.0548,3.6,30.0352,9806,8231,6583,5590,4399,2998,1672
507204959,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132091,cell,F2S4_160202_011_G01,F2S4_160202_011,A8S4_160209_02_G05,A8S4_160209_02,4.743442366,L8S4_160216_02_G05,L8S4_160216_02,452,148.5598912,LS-15012,RSC-012,2661652,39.2,3.98,22.6,0.0647,5.06,29.0953,9168,7627,6111,5247,4159,3011,1743
507204961,501309808,Mus musculus,P54,Sst-IRES-Cre,Ai14,cre reporter positive,501929553,Mouse ALM - L5,527132084,cell,F2S4_160202_011_F01,F2S4_160202_011,A8S4_160209_02_F05,A8S4_160209_02,5.811735814,L8S4_160216_02_F05,L8S4_160216_02,505,136.5826734,LS-15012,RSC-012,2477556,45.7,4.23,17.6,0.0661,4.15,28.2539,9454,7903,6368,5450,4320,2971,1728
