rnaseq_profile_id,donor_id,donor_age,genotype_driver,genotype_reporter,cell_reporter,cell_prep_sample_id,sampling_region,slice_index,slice_id,slice_name,cell_id,rnaseq_profile_total_reads,rnaseq_profile_percent_reads_aligned_to_mrna,rnaseq_profile_percent_reads_aligned_to_ncrna,rnaseq_profile_percent_reads_aligned_to_genome_only,subclass,subclass_order,subclass_color,broad_class,broad_class_order,broad_class_color
497122158,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389990,1699359,44.3,4.29,19.5,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122159,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389991,1101148,42.1,3.93,21.3,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122160,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389992,1240431,50.6,3.92,15.9,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122161,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389993,1523750,49.7,3.58,16.8,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122162,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389994,1070980,73.1,2.66,5.23,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122163,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389995,1291967,67.3,2.84,9.11,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122164,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501389996,3815896,53.8,4.28,15.1,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122165,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501389997,5185827,60.9,3.96,11.3,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122166,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501389998,4074362,75.3,1.89,3.13,Plek2_Pkib,13,#FFFF00,Gad2_Syt4,4,#FFFF00
497122167,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501389999,3331576,51.1,3.92,18.3,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122168,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501390000,3284308,52,3.8,18.6,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122169,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501390001,4346327,53.4,3.92,16.6,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122170,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501390002,4207136,60.9,3.61,12.9,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122171,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486749760,Mouse LGN - Core,11,486749740,Slc32a1-IRES-Cre;Ai14-204790.11.01,501390003,4132393,57.8,3.96,15.7,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122172,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390004,3492390,69,2.8,9.55,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122174,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390005,1343060,68.4,2.21,5.84,Tac1_Gabra4,6,#CE1256,Gad2_Chrna6,3,#FF0000
497122175,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390006,1073269,73.3,2.59,5.68,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122176,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390007,1341265,58.1,3.29,13.6,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122177,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390008,1216295,66.5,2.82,10.1,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122178,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390009,869076,40.7,3.95,23.5,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122179,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390010,1032522,54.2,3.28,16.9,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122180,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501771425,2668588,69.3,2.73,8.94,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122181,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501771426,3575036,64.8,3.14,10.5,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122182,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390011,3658145,70.9,2.58,8.03,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122183,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390012,2744041,49.1,3.9,17.8,Olig1_Pdgfra,21,#505050,Olig1,6,#333333
497122184,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390013,2794361,60,3.27,13.1,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122185,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102671,Mouse LGN - Core,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390014,3594154,70.1,2.84,7.96,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122188,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390023,889989,70.2,2.58,6.48,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122189,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390024,672941,60.1,1.63,1.96,Gad2_Sepp1,5,#C77963,Gad2_Sepp1,2,#C77963
497122190,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390025,1089209,71,2.45,7.24,Calb2_Plac9a,11,#9400E2,Gad2_Syt4,4,#FFFF00
497122191,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390026,884936,57.8,3.59,13.8,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122192,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390027,1003960,66.6,2.85,8.28,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122193,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390028,1053290,69.2,2.85,7.9,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122194,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390029,859607,65.8,3.43,9.14,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122195,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390030,697216,67.6,3.01,8.52,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122196,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390031,3126088,66.1,3.11,9.88,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122197,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390032,2471127,72.5,2.59,6.97,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122198,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390033,1401594,69.6,2.82,7.91,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122199,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390034,3034530,56.4,3.61,13.8,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122200,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390035,1114624,75.8,2.28,4.54,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122201,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390036,1614142,71.9,2.8,6.36,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122202,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390037,818147,44.9,4.29,20.1,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122203,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487102677,Mouse LGN - Core,13,487102603,Slc32a1-IRES-Cre;Ai14-204790.13.01,501390038,686063,56.1,3.73,13.1,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122204,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390015,2109645,67.9,2.9,10.7,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122205,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390016,2100770,68.6,2.9,9.81,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122206,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390017,1556274,73.1,2.69,7.13,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122207,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390018,1539206,59,3.72,13.4,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122208,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390019,1330422,60.4,3.75,12.4,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122209,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390020,661470,70.6,2.74,9.38,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122210,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390021,1684150,71.8,2.82,8.35,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122211,485247333,P56,Slc32a1-IRES-Cre,Ai14,cre reporter positive,487145183,Mouse LGN - Shell,12,486749765,Slc32a1-IRES-Cre;Ai14-204790.12.01,501390022,1377229,72.7,2.41,7.42,Chrna6_Plac9a,8,#E7298A,Gad2_Chrna6,3,#FF0000
497122212,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390244,696955,46.5,3.45,19.7,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122213,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390245,605511,54.7,3.38,15.5,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122214,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390246,527235,58.1,3.1,8.37,Olig1_Opalin,23,#C8C8C8,Olig1,6,#333333
497122215,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390247,625399,49.7,3.55,18.2,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122216,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390248,607184,64.2,2.93,10.5,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122217,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390249,674604,55.8,3.25,14.5,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122218,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390250,699845,55,3.29,15.4,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122219,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390251,593440,47.3,3.39,20,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122220,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390252,1496832,60.3,2.97,15.1,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122221,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390253,873484,57.7,3.12,15.2,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122222,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390254,1107185,54.5,3.25,17.9,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122223,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390255,799594,50.5,3.59,19.4,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122224,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390256,1093522,56.2,3.61,15.7,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122225,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390257,1118066,53.2,3.4,17.9,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122226,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390258,1385768,41.5,4.12,25.3,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122227,484742351,P57,Snap25-IRES2-Cre,Ai14,cre reporter positive,486793813,Mouse LGN - Core,11,486792867,Snap25-IRES2-Cre;Ai14-202521.11.01,501390259,1492531,62.6,3.11,12.7,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122236,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389485,1127634,54,3.36,14.1,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122237,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389486,3327827,56.9,3.39,14.3,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122238,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389487,3494838,49.6,3.52,19,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122239,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389488,3423922,50.8,3.21,17.9,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122240,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389489,1879939,24.8,3.94,26.6,Slc17a6_Tcrb,1,#0640FF,Slc17a6,1,#0000FF
497122241,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389490,2393688,62.7,2.9,11.1,Slc17a6_Calb2,4,#74A9CF,Slc17a6,1,#0000FF
497122242,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389491,2677247,50.2,3.49,17.6,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122243,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441163,Mouse LGN - Core,12,488439018,Slc17a6-IRES-Cre;Ai14-207720.12.01,501389492,2239121,49.9,3.19,19.9,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
497122244,486300859,P58,Slc17a6-IRES-Cre,Ai14,cre reporter positive,488441160,Mouse LGN - Core,9,488438975,Slc17a6-IRES-Cre;Ai14-207720.09.01,501389462,1816443,53.4,3.34,16.2,Slc17a6_Pigl,3,#21F4CC,Slc17a6,1,#0000FF
