rnaseq_profile_id,donor_id,donor_age,genotype_driver,genotype_reporter,cell_reporter,cell_prep_sample_id,sampling_region,slice_index,slice_id,slice_name,cell_id,rnaseq_profile_total_reads,rnaseq_profile_percent_reads_aligned_to_mrna,rnaseq_profile_percent_reads_aligned_to_ncrna,rnaseq_profile_percent_reads_aligned_to_genome_only,subclass,subclass_order,subclass_color,broad_class,broad_class_order,broad_class_color
497122137,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389972,3380643,48.7,2.05,9.35,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122141,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389973,3252488,51.1,3.55,16.4,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122142,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389974,3309330,48.8,3.63,17.7,Tac1_Gabra4,6,#CE1256,Gad2_Chrna6,3,#FF0000
497122143,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389975,3576681,66.7,2.48,10.4,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122144,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389976,4954087,52.2,3.88,16.1,Styk1_Cdh13_Car10,7,#FF6A6A,Gad2_Chrna6,3,#FF0000
497122145,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389977,3920690,45.3,4.01,20.4,Tac1_Gabra4,6,#CE1256,Gad2_Chrna6,3,#FF0000
497122146,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389978,3859904,60.7,2.84,13.6,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122147,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509295,Mouse LGN - Core,11,486749503,Slc32a1-IRES-Cre;Ai14-204789.11.01,501389979,2221764,63.5,3.01,12.1,Styk1_Xylb,9,#FF3030,Gad2_Chrna6,3,#FF0000
497122148,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389980,617242,63.4,3.05,11.5,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122149,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389981,718808,61.8,2.9,8.5,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122150,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389982,743643,63.4,3.1,11.2,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122151,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389983,237460,52.5,3.86,15.3,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122152,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389984,331222,50.9,3.88,15.7,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122153,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389985,701406,48,3.53,18.3,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122154,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389986,613137,44.9,4.05,18.6,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122155,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389987,530987,54.3,3.24,13.7,Gad2_Spata20,12,#F80FF0,Gad2_Syt4,4,#FFFF00
497122156,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389988,1378645,63.6,3.18,11.2,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
497122157,485247214,P54,Slc32a1-IRES-Cre,Ai14,cre reporter positive,486509624,Mouse LGN - Core,13,486749564,Slc32a1-IRES-Cre;Ai14-204789.13.01,501389989,1683753,67.8,2.91,8.91,Gad2_Pvalb,18,#FFD700,Gad2_Syt4,4,#FFFF00
