structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4215,13,141667089,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",127562730,141,88,171,-50.0,-80.0,21.0
4237,11,141667177,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512019,109,111,144,-18.0,-53.0,-2.0
4090,9,141667207,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",127050458,138,59,118,-47.0,-27.0,50.0
4107,9,139409861,CX,"SMG-i","supramarginal gyrus, left, inferior bank of gyrus",127050410,159,79,119,-68.0,-28.0,30.0
4106,9,139409845,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127050409,149,64,119,-58.0,-28.0,45.0
4149,7,139409841,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",126525177,125,147,93,-34.0,-2.0,-38.0
4142,7,139409825,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",126703433,154,126,94,-63.0,-3.0,-17.0
4224,5,127687007,CX,"CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",123644654,95,89,71,-4.0,20.0,20.0
4178,5,127687057,CX,"PLP","planum polare, left",123636950,143,122,74,-52.0,17.0,-13.0
4898,2,127687001,CX,"SRoG","superior rostral gyrus, left",121081990,95,123,31,-4.0,60.0,-14.0
4060,2,127687065,CX,"LOrG","lateral orbital gyrus, left",121112951,128,117,32,-37.0,59.0,-8.0
4194,14,141667185,CX,"LiG-str","lingual gyrus, left, striate",127563328,100,129,177,-9.0,-86.0,-20.0
4193,14,141667169,CX,"LiG-pest","lingual gyrus, left, peristriate",127563329,113,125,176,-22.0,-85.0,-16.0
4187,14,141667153,CX,"Cun-str","cuneus, left, striate",127563327,98,110,176,-7.0,-85.0,-1.0
4186,14,141667137,CX,"Cun-pest","cuneus, left, peristriate",127563326,98,99,177,-7.0,-86.0,10.0
4120,13,141667229,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",127562782,93,59,166,-2.0,-75.0,50.0
4113,13,141667103,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",127562530,122,60,167,-31.0,-76.0,49.0
4194,13,141667199,CX,"LiG-str","lingual gyrus, left, striate",127562687,101,107,166,-10.0,-75.0,2.0
4193,13,141667183,CX,"LiG-pest","lingual gyrus, left, peristriate",127562688,110,109,166,-19.0,-75.0,0.0
4208,13,141667263,CX,"IOG-i","inferior occipital gyrus, left, inferior bank of gyrus",127562732,144,116,170,-53.0,-79.0,-7.0
4121,12,141667179,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",127562274,97,49,155,-6.0,-64.0,60.0
4114,12,141667227,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",127562172,126,68,156,-35.0,-65.0,41.0
4099,12,141667195,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",127562174,115,77,156,-24.0,-65.0,32.0
4231,12,141667133,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",127554739,110,100,153,-19.0,-62.0,9.0
4230,12,141667117,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127554738,96,90,153,-5.0,-62.0,19.0
4201,12,141667213,CX,"OTG-i","occipito-temporal gyrus, left, inferior bank of gyrus",127562209,141,123,157,-50.0,-66.0,-14.0
4200,12,141667197,CX,"OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",127562208,132,117,155,-41.0,-64.0,-8.0
4230,11,141667255,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127511917,100,63,143,-9.0,-52.0,46.0
4237,11,141667145,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512018,107,111,144,-16.0,-53.0,-2.0
4231,11,141667129,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",127512016,101,75,143,-10.0,-52.0,34.0
4107,11,141667209,CX,"SMG-i","supramarginal gyrus, left, inferior bank of gyrus",127511948,149,86,146,-58.0,-55.0,23.0
4106,11,141667193,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127511947,145,73,146,-54.0,-55.0,36.0
4193,11,141667131,CX,"LiG-pest","lingual gyrus, left, peristriate",127514491,117,117,145,-26.0,-54.0,-8.0
4193,11,141667083,CX,"LiG-pest","lingual gyrus, left, peristriate",127514490,115,118,145,-24.0,-54.0,-9.0
4143,8,139409907,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127045317,150,129,106,-59.0,-15.0,-20.0
4136,8,139409811,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",127048540,157,97,107,-66.0,-16.0,12.0
4013,8,139409749,CX,"PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",127045208,120,41,104,-29.0,-13.0,68.0
4106,8,139409795,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127048706,149,61,105,-58.0,-14.0,48.0
4088,8,139409779,CX,"PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",127048705,135,45,105,-44.0,-14.0,64.0
4143,9,139409767,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127050503,155,122,122,-64.0,-31.0,-13.0
4072,9,139409799,CX,"PCLa","paracentral lobule, anterior part, left",127050746,100,69,118,-9.0,-27.0,40.0
4098,10,139409847,CX,"SPL-s","superior parietal lobule, left, superior bank of gyrus",127056990,105,38,128,-14.0,-37.0,71.0
4230,10,139409911,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127056267,95,64,127,-4.0,-36.0,45.0
4142,10,141667125,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",127056952,161,104,135,-70.0,-44.0,5.0
4136,10,139409801,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",127056953,155,89,134,-64.0,-43.0,20.0
4160,10,141667189,CX,"FuG-cos","fusiform gyrus, left, bank of cos",127056052,130,127,132,-39.0,-41.0,-18.0
4158,10,141667157,CX,"FuG-its","fusiform gyrus, left, bank of the its",127056113,139,129,133,-48.0,-42.0,-20.0
4151,10,141667253,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",127055991,157,117,134,-66.0,-43.0,-8.0
4150,10,141667237,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",127055992,156,131,134,-65.0,-43.0,-22.0
4143,10,141667221,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127055990,157,111,135,-66.0,-44.0,-2.0
4223,7,139409921,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",126712218,93,65,90,-2.0,1.0,44.0
4024,7,139409855,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",126707525,110,55,90,-19.0,1.0,54.0
4023,7,139409839,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",126707524,92,39,89,-1.0,2.0,70.0
4012,7,139409887,CX,"PrG-prc","precentral gyrus, left, bank of the precentral sulcus",126709266,133,55,91,-42.0,0.0,54.0
4270,7,139409793,CX,"LIG","long insular gyri, left",126712343,133,109,92,-42.0,-1.0,0.0
4136,7,139409809,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",126703434,148,123,94,-57.0,-3.0,-14.0
4273,6,139409823,CX,"SIG","short insular gyri, left",125142345,125,104,81,-34.0,10.0,5.0
4288,6,139409807,CX,"Pu","putamen, left",123591460,110,103,82,-19.0,9.0,6.0
4178,6,139409775,CX,"PLP","planum polare, left",124123901,145,114,81,-54.0,10.0,-5.0
