Symbol	 Ensemble  Acc 	GeneID
ADAM8	ENSG00000151651.11	101.0
ADAM9	ENSG00000168615.7	8754.0
ADAMTS12	ENSG00000151388.6	81792.0
ADAMTS13	ENSG00000160323.14	11093.0
ADAMTS14	ENSG00000138316.6	140766.0
ADAMTS16	ENSG00000145536.11	170690.0
ADAMTS19	ENSG00000145808.4	171019.0
ADAMTS19-AS1	ENSG00000249421.1	103689846.0
ADAMTS2	ENSG00000087116.9	9509.0
ADAMTS20	ENSG00000173157.12	80070.0
ADAMTS3	ENSG00000156140.4	9508.0
ADAMTS4	ENSG00000158859.9	9507.0
ADAMTS6	ENSG00000049192.10	11174.0
ADAMTS9	ENSG00000163638.9	56999.0
ADAMTSL1	ENSG00000178031.11	92949.0
ADAMTSL2	ENSG00000197859.5	9719.0
ADAMTSL4-AS1	ENSG00000203804.3	574406.0
ADAP1	ENSG00000105963.9	11033.0
ADARB2	ENSG00000185736.11	105.0
ADARB2-AS1	ENSG00000205696.4	642394.0
ADAT2	ENSG00000189007.11	134637.0
ADCK2	ENSG00000133597.5	90956.0
ADCY1	ENSG00000164742.10	107.0
ADCY10	ENSG00000143199.13	55811.0
ADCY10P1	ENSG00000161912.13	221442.0
ADCY3	ENSG00000138031.10	109.0
ADCY6	ENSG00000174233.7	112.0
ADD1	ENSG00000087274.12	118.0
ADD2	ENSG00000075340.18	119.0
ADD3	ENSG00000148700.9	120.0
ADH1A	ENSG00000187758.3	124.0
ADH1C	ENSG00000248144.1	126.0
ADH4	ENSG00000198099.4	127.0
ADH5P3	ENSG00000223694.1	100131810.0
ADH5P4	ENSG00000233859.1	642443.0
ADH6	ENSG00000172955.13	130.0
ADH7	ENSG00000196344.7	131.0
ADI1	ENSG00000182551.9	55256.0
ADIPOQ	ENSG00000181092.5	9370.0
ADIPOQ-AS1	ENSG00000226482.1	100874095.0
ADIPOR1P1	ENSG00000232497.1	645220.0
ADIPOR2	ENSG00000006831.9	79602.0
ADIRF	ENSG00000148671.9	10974.0
ADIRF-AS1	ENSG00000272734.1	100133190.0
ADK	ENSG00000156110.9	132.0
ADM	ENSG00000148926.5	133.0
ADO	ENSG00000181915.3	84890.0
ADPRH	ENSG00000144843.7	141.0
ADPRHL1	ENSG00000153531.8	113622.0
ADPRHL2	ENSG00000116863.10	54936.0
ADRA1A	ENSG00000120907.13	148.0
ADRA2A	ENSG00000150594.5	150.0
ADRA2B	ENSG00000222040.3	151.0
ADRA2C	ENSG00000184160.6	152.0
ADRB1	ENSG00000043591.4	153.0
ADRB2	ENSG00000169252.4	154.0
ADSS	ENSG00000035687.9	159.0
ADTRP	ENSG00000111863.8	84830.0
AEBP1	ENSG00000106624.4	165.0
AEBP2	ENSG00000139154.10	121536.0
AFAP1	ENSG00000196526.6	60312.0
AFAP1-AS1	ENSG00000272620.1	84740.0
AFAP1L2	ENSG00000169129.10	84632.0
AFF3	ENSG00000144218.14	3899.0
AFF4	ENSG00000072364.8	27125.0
AFG3L2P1	ENSG00000253606.1	347028.0
AFM	ENSG00000079557.3	173.0
AFP	ENSG00000081051.3	174.0
AFTPH	ENSG00000119844.10	54812.0
AGA	ENSG00000038002.4	175.0
AGAP1	ENSG00000157985.13	116987.0
AGAP1-IT1	ENSG00000235529.1	100506749.0
AGAP2	ENSG00000135439.7	116986.0
AGAP2-AS1	ENSG00000255737.2	100130776.0
AGAP4	ENSG00000188234.9	119016.0
AGAP9	ENSG00000198035.9	642517.0
AGBL2	ENSG00000165923.11	79841.0
AGBL4	ENSG00000186094.12	84871.0
AGBL5-AS1	ENSG00000231636.1	100874031.0
AGBL5-IT1	ENSG00000229122.1	106481744.0
AGER	ENSG00000204305.9	177.0
AGFG1	ENSG00000173744.13	3267.0
AGFG2	ENSG00000106351.8	3268.0
AGGF1	ENSG00000164252.8	55109.0
AGGF1P1	ENSG00000214273.4	100132380.0
AGGF1P3	ENSG00000241532.1	391552.0
AGK	ENSG00000006530.11	55750.0
AGL	ENSG00000162688.11	178.0
AGMAT	ENSG00000116771.5	79814.0
AGMO	ENSG00000187546.9	392636.0
AGO1	ENSG00000092847.6	26523.0
AGO2	ENSG00000123908.7	27161.0
AGO3	ENSG00000126070.14	192669.0
AGO4	ENSG00000134698.10	192670.0
AGPAT1	ENSG00000204310.6	10554.0
AGPAT2	ENSG00000169692.8	10555.0
AGPAT4	ENSG00000026652.9	56895.0
AGPAT5	ENSG00000155189.7	55326.0
AGR2	ENSG00000106541.7	10551.0
AGR3	ENSG00000173467.4	155465.0
AGRN	ENSG00000188157.9	375790.0
AGTPBP1	ENSG00000135049.11	23287.0
AGTR1	ENSG00000144891.13	185.0
AGXT	ENSG00000172482.4	189.0
AGXT2	ENSG00000113492.9	64902.0
AHCTF1	ENSG00000153207.10	25909.0
AHCYL2	ENSG00000158467.12	23382.0
AHCYP1	ENSG00000215044.2	340844.0
AHCYP2	ENSG00000238181.2	392387.0
AHCYP3	ENSG00000233955.1	402093.0
AHCYP4	ENSG00000232992.2	129560.0
AHCYP5	ENSG00000213107.2	391470.0
AHDC1	ENSG00000126705.9	27245.0
AHNAK	ENSG00000124942.9	79026.0
AHRR	ENSG00000063438.12	57491.0
AHSG	ENSG00000145192.8	197.0
AICDA	ENSG00000111732.6	57379.0
AIDA	ENSG00000186063.8	64853.0
AIF1L	ENSG00000126878.8	83543.0
AIFM1P1	ENSG00000225509.1	645120.0
AIFM2	ENSG00000042286.10	84883.0
AIG1P1	ENSG00000249089.1	106479028.0
AIM1L	ENSG00000176092.9	55057.0
AIMP1P2	ENSG00000227177.1	100873064.0
AIMP2	ENSG00000106305.5	7965.0
AIRN	ENSG00000268257.2	100271873.0
AJAP1	ENSG00000196581.6	55966.0
AK1	ENSG00000106992.13	203.0
AK2P2	ENSG00000242272.1	339736.0
AK3	ENSG00000147853.12	50808.0
AK3P2	ENSG00000250115.2	100419074.0
AK3P5	ENSG00000228816.1	100288319.0
AK4	ENSG00000162433.10	205.0
AK4P2	ENSG00000249410.1	100132104.0
AK4P3	ENSG00000233381.2	645619.0
AK4P5	ENSG00000217377.1	100526416.0
AK4P6	ENSG00000235606.3	649288.0
AK5	ENSG00000154027.14	26289.0
AK8	ENSG00000165695.5	158067.0
AKAP11	ENSG00000023516.7	11215.0
AKAP12	ENSG00000131016.12	9590.0
AKAP3	ENSG00000111254.3	10566.0
AKAP7	ENSG00000118507.11	9465.0
AKIP1	ENSG00000166452.7	56672.0
AKIRIN1	ENSG00000174574.11	79647.0
AKIRIN2	ENSG00000135334.8	55122.0
AKNA	ENSG00000106948.12	80709.0
AKNAD1	ENSG00000162641.14	254268.0
AKR1A1	ENSG00000117448.9	10327.0
AKR1B10P1	ENSG00000213606.3	340888.0
AKR1B1P2	ENSG00000213452.4	236.0
AKR1B1P4	ENSG00000237876.1	390402.0
AKR1C1	ENSG00000187134.8	1645.0
AKR1C6P	ENSG00000151631.7	389932.0
AKR1D1	ENSG00000122787.10	6718.0
AKR1D1P1	ENSG00000227776.1	80701.0
AKR1E2	ENSG00000165568.13	83592.0
AKR7A2	ENSG00000053371.8	8574.0
AKR7A3	ENSG00000162482.4	22977.0
AKR7L	ENSG00000211454.9	246181.0
AKT3	ENSG00000117020.12	10000.0
AKT3-IT1	ENSG00000228939.1	100874263.0
ALAD	ENSG00000148218.11	210.0
ALDH18A1	ENSG00000059573.4	5832.0
ALDH1B1	ENSG00000137124.6	219.0
ALDH1L2	ENSG00000136010.9	160428.0
ALDH2	ENSG00000111275.8	217.0
ALDH3B1	ENSG00000006534.11	221.0
ALDH3B2	ENSG00000132746.10	222.0
ALDH4A1	ENSG00000159423.12	8659.0
ALDH5A1	ENSG00000112294.8	7915.0
ALDH7A1P1	ENSG00000251400.1	541.0
ALDH7A1P2	ENSG00000232292.1	542.0
ALDH7A1P3	ENSG00000243853.1	543.0
ALDH7A1P4	ENSG00000234489.1	544.0
ALDH9A1	ENSG00000143149.8	223.0
ALDOB	ENSG00000136872.13	229.0
ALG10	ENSG00000139133.2	84920.0
ALG10B	ENSG00000175548.4	144245.0
ALG14	ENSG00000172339.9	199857.0
ALG1L	ENSG00000189366.5	200810.0
ALG1L10P	ENSG00000254016.2	106479037.0
ALG1L11P	ENSG00000249889.1	106480789.0
ALG1L14P	ENSG00000250268.2	100996649.0
ALG1L15P	ENSG00000242017.1	730086.0
ALG1L3P	ENSG00000251087.2	100132066.0
ALG1L5P	ENSG00000226943.3	647415.0
ALG1L7P	ENSG00000251271.2	728263.0
ALG1L9P	ENSG00000254978.2	285407.0
