structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
9143,92,160535133,BS,"7","facial motor nucleus, left",159127686,83,144,132,8.0,-41.0,-35.0
9137,92,160535307,BS,"6","abducens nucleus, left",159122217,89,143,134,2.0,-43.0,-34.0
9158,92,160535291,BS,"RPn","pontine raphe nucleus, left",158763790,92,144,132,-1.0,-41.0,-35.0
9698,92,160535275,BS,"8Ve","vestibular nuclei, left",159233515,82,144,134,9.0,-43.0,-35.0
9677,92,160535259,BS,"Sp5","spinal trigeminal nucleus, left",156687325,80,144,131,11.0,-40.0,-35.0
9492,92,160535227,BS,"Pn","pontine nuclei, left",158931290,87,145,120,4.0,-29.0,-36.0
9207,92,160535211,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156681113,80,144,132,11.0,-41.0,-35.0
9206,92,160535195,BS,"Mo5","motor nucleus of trigeminal nerve, left",158173122,83,144,131,8.0,-40.0,-35.0
9155,92,160535147,BS,"SubC","nucleus subceruleus, left",156260971,85,144,132,6.0,-41.0,-35.0
9207,92,160535131,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156257330,79,140,130,12.0,-39.0,-31.0
9206,92,160535305,BS,"Mo5","motor nucleus of trigeminal nerve, left",158171729,82,140,129,9.0,-38.0,-31.0
9178,92,160535289,BS,"SOC","superior olivary complex, left",158887693,82,140,127,9.0,-36.0,-31.0
10148,92,160535257,BS,"CGPo","central gray of the pons, left",159336482,86,140,132,5.0,-41.0,-31.0
10148,92,160535241,BS,"CGPo","central gray of the pons, left",159053883,85,140,132,6.0,-41.0,-31.0
9492,92,160535225,BS,"Pn","pontine nuclei, left",158930493,85,141,116,6.0,-25.0,-32.0
9456,92,160535209,BS,"MBRa","midbrain raphe nuclei, left",158753224,91,140,132,0.0,-41.0,-31.0
9161,92,160535193,BS,"PRF","pontine reticular formation, left",156257944,89,140,128,2.0,-37.0,-31.0
9152,92,160536137,BS,"MPB","medial parabrachial nucleus, left",158874366,82,140,133,9.0,-42.0,-31.0
9149,92,160535161,BS,"LC","locus ceruleus, left",158875398,85,140,133,6.0,-42.0,-31.0
4258,8,160091979,CX,"DG","dentate gyrus, left",145964255,120,129,107,-29.0,-16.0,-20.0
4257,8,160091963,CX,"CA4","CA4 field, left",145964256,120,128,107,-29.0,-16.0,-19.0
4255,8,160091931,CX,"CA2","CA2 field, left",145964254,124,125,107,-33.0,-16.0,-16.0
9149,91,160535145,BS,"LC","locus ceruleus, left",158869764,88,134,131,3.0,-40.0,-25.0
9152,91,160535129,BS,"MPB","medial parabrachial nucleus, left",158867395,87,134,132,4.0,-41.0,-25.0
9146,91,160535303,BS,"LPB","lateral parabrachial nucleus, left",158402832,82,134,132,9.0,-41.0,-25.0
9161,91,160535287,BS,"PRF","pontine reticular formation, left",155768282,90,134,127,1.0,-36.0,-25.0
9492,91,160535271,BS,"Pn","pontine nuclei, left",158165401,87,136,114,4.0,-23.0,-27.0
9103,91,160535255,BS,"IC","inferior colliculus, left",159148114,82,134,134,9.0,-43.0,-25.0
9004,91,160535239,BS,"CGMB","central gray substance of midbrain, left",159148116,86,134,133,5.0,-42.0,-25.0
9103,91,160535207,BS,"IC","inferior colliculus, left",158161970,83,134,134,8.0,-43.0,-25.0
9075,91,160535191,BS,"SNR","substantia nigra, pars reticulata, left",157683080,83,135,121,8.0,-30.0,-26.0
9074,91,160535175,BS,"SNC","substantia nigra, pars compacta, left",157683052,85,135,119,6.0,-28.0,-26.0
9067,91,160535159,BS,"VTA","ventral tegmental area, left",157706283,89,135,118,2.0,-27.0,-26.0
9020,91,160536103,BS,"CnF","cuneiform nucleus, left",158401655,84,134,131,7.0,-40.0,-25.0
9004,91,160536087,BS,"CGMB","central gray substance of midbrain, left",153253835,85,134,133,6.0,-42.0,-25.0
4596,6,160091486,CX,"LHA","lateral hypothalamic area, anterior region, left",158440291,100,115,86,-9.0,5.0,-6.0
4301,6,160091500,CX,"SptN","septal nuclei, left",158438715,98,95,86,-7.0,5.0,14.0
4518,7,160091618,CX,"Sb","subthalamic nucleus, left",158449679,99,117,94,-8.0,-3.0,-8.0
4507,7,160091570,CX,"ZI","zona incerta, left",146480724,100,112,94,-9.0,-3.0,-3.0
4672,7,160091584,CX,"MM","medial mammillary nucleus, left",158439716,93,124,94,-2.0,-3.0,-15.0
4440,9,160091897,CX,"LGd","dorsal lateral geniculate nucleus, left",157974498,118,118,117,-27.0,-26.0,-9.0
4444,9,160091833,CX,"MG","medial geniculate complex, left",156901563,105,113,117,-14.0,-26.0,-4.0
4440,9,160092007,CX,"LGd","dorsal lateral geniculate nucleus, left",156688954,117,118,117,-26.0,-26.0,-9.0
4409,9,160091959,CX,"DTLd","lateral group of nuclei, left, dorsal division",156890323,109,100,117,-18.0,-26.0,9.0
4258,9,160091911,CX,"DG","dentate gyrus, left",148020449,121,122,117,-30.0,-26.0,-13.0
4251,7,159438961,CX,"S","subiculum, left",147944867,108,139,94,-17.0,-3.0,-30.0
9558,93,165372250,BS,"12","hypoglossal nucleus, left",159225465,90,161,134,1.0,-43.0,-52.0
9543,93,165372234,BS,"Cu","cuneate nucleus, left",158868946,85,161,135,6.0,-44.0,-52.0
9546,93,165372218,BS,"10","dorsal motor nucleus of the vagus, left",159225466,89,161,136,2.0,-45.0,-52.0
9698,93,165372202,BS,"8Ve","vestibular nuclei, left",158869030,87,161,138,4.0,-47.0,-52.0
9677,93,165372186,BS,"Sp5","spinal trigeminal nucleus, left",156835216,85,162,132,6.0,-41.0,-53.0
9642,93,165372170,BS,"RaM","raphe nuclei of medulla",158927710,91,161,131,0.0,-40.0,-52.0
