GeneSym	UniprotACC	GeneID
IGKV2-28	A0A075B6P5	28921
IGHV3-64	A0A075B6Q5	28414
IGHV4-4	A0A075B6R2	28401
IGKV2D-30	A0A075B6S6	28881
IGHV4-30-2	A0A087WSY4	28398
MEIKIN	A0A087WXM9	728637
IGHV1-45	A0A0A0MS14	28466
IGHV3-49	A0A0A0MS15	28423
IGHV6-1	A0A0B4J1U7	28385
IGHV3-15	A0A0B4J1V0	28448
IGHV3-21	A0A0B4J1V1	28444
IGHV2-26	A0A0B4J1V2	28455
IGHV3-73	A0A0B4J1V6	28409
IGHV3-74	A0A0B4J1X5	28408
IGHV3-43	A0A0B4J1X8	28426
IGHV3-72	A0A0B4J1Y9	28410
IGHV1-69D	A0A0B4J2H0	102723169
IGKV3D-20	A0A0C4DH25	28874
IGHV1-3	A0A0C4DH29	28473
IGHV1-18	A0A0C4DH31	28468
IGHV3-20	A0A0C4DH32	28445
IGHV1-24	A0A0C4DH33	28467
IGHV4-28	A0A0C4DH34	28400
IGHV5-51	A0A0C4DH38	28388
IGHV1-58	A0A0C4DH39	28464
IGHV4-61	A0A0C4DH41	28391
IGHV3-66	A0A0C4DH42	28412
IGKV1-12	A0A0C4DH73	28940
IGHV1-69-2	A0A0G2JMI3	28458
TRBC2	A0A5B9	28638
E2F8	A0AVK6	79733
IGLC7	A0M8Q6	28834
SHTN1	A0MZ66	57698
IRGM	A1A4Y4	345611
ODAM	A1E959	54959
SH3PXD2B	A1X283	285590
IGKV2-29	A2NJV5	28920
VPS37C	A5D8V6	55048
PSMB11	A5LHX3	122706
CNOT1	A5YKK6	23019
CCDC88B	A6NC98	283234
NKX2-6	A6NCS4	137814
PGP	A6NDG6	283871
NUPR2	A6NF83	389493
WTIP	A6NIX2	126374
ACOD1	A6NK06	730249
USP27X	A6NNY8	389856
POM121C	A8CG34	100101267
WASHC1	A8K0Z3	100287171
CENPX	A8MT69	201254
BECN2	A8MW95	441925
GRXCR1	A8MXD5	389207
TRDC	B7Z8K6	28526
IGLL5	B9A064	100423062
