GeneSym	UniprotACC	GeneID
KAT5	Q92993	10524
USP13	Q92995	8975
RBPMS	Q93062	11030
EXT2	Q93063	2132
MED12	Q93074	9968
P2RX5	Q93086	5026
SMARCE1	Q969G3	6605
FBXW7	Q969H0	55294
MKL1	Q969V6	57591
ISG20	Q96AZ6	3669
NACC2	Q96BF6	138151
SGK3	Q96BR1	23678
ALKBH8	Q96BT7	91801
SYTL4	Q96C24	94121
NUDT16	Q96DE0	131870
SIRT1	Q96EB6	23411
MCRS1	Q96EZ8	10445
DDX11	Q96FC9	1663
BICD1	Q96G01	636
MRAP2	Q96G30	112609
NUDT11	Q96G61	55190
MED30	Q96HR3	90390
PGAM5	Q96HS1	192111
EHMT2	Q96KQ7	10919
MARK4	Q96L34	57787
NSD1	Q96L73	64324
KIF16B	Q96L93	55614
PRMT6	Q96LA8	55170
PACRG	Q96M98	135138
IP6K3	Q96PC2	117283
NOX5	Q96PH1	79400
TRERF1	Q96PN7	55809
NEDD4L	Q96PU5	23327
ALS2	Q96Q42	57679
KIF20B	Q96Q89	9585
NR1H4	Q96RI1	9971
BBS4	Q96RK4	585
SLC26A8	Q96RN1	116369
TRIB3	Q96RU7	57761
TRIB1	Q96RU8	10221
SRPK1	Q96SB4	6732
DCLRE1C	Q96SD1	64421
SIN3A	Q96ST3	25942
PNKP	Q96T60	11284
UHRF1	Q96T88	29128
HBEGF	Q99075	1839
TCF12	Q99081	6938
ACOX2	Q99424	8309
CDC5L	Q99459	988
PARK7	Q99497	11315
GPER1	Q99527	2852
MAP3K14	Q99558	9020
P2RX4	Q99571	5025
P2RX7	Q99572	5027
MNT	Q99583	4335
S100A13	Q99584	6284
SLC38A3	Q99624	10991
CHP1	Q99653	11261
MAP3K5	Q99683	4217
BARD1	Q99728	580
CCL19	Q99731	6363
PIP5K1A	Q99755	8394
NKX3-1	Q99801	4824
EPAS1	Q99814	2034
CPNE1	Q99829	8904
PRMT1	Q99873	3276
FOXC2	Q99958	2303
PKP2	Q99959	5318
CITED1	Q99966	4435
CITED2	Q99967	10370
VRK1	Q99986	7443
MAPKAP1	Q9BPZ7	79109
JPH2	Q9BR39	57158
ZKSCAN3	Q9BRR0	80317
INPP5K	Q9BT40	51763
SYT11	Q9BT88	23208
DHRS4	Q9BTZ2	10901
DERL1	Q9BUN8	79139
TRAF4	Q9BUZ4	9618
PHF20	Q9BVI0	51230
RBM4	Q9BWF3	5936
GATA5	Q9BWX5	140628
PINK1	Q9BXM7	65018
SLC26A6	Q9BXS9	65010
EIF2A	Q9BY44	83939
ACE2	Q9BYF1	59272
CPEB1	Q9BZB8	64506
RTN4R	Q9BZR6	65078
FOXP3	Q9BZS1	50943
TRIM5	Q9C035	85363
FTO	Q9C0B1	79068
UBE2O	Q9C0C9	63893
BHLHE41	Q9C0J9	79365
NMUR2	Q9GZQ4	56923
SRR	Q9GZT4	63826
LHPP	Q9H008	64077
SLC22A4	Q9H015	6583
NAT10	Q9H0A0	55226
XRN2	Q9H0D6	22803
TOLLIP	Q9H0E2	54472
RACGAP1	Q9H0H5	29127
OSBPL5	Q9H0X9	114879
GZF1	Q9H116	64412
ISCU	Q9H1K1	23479
ABCG8	Q9H221	64241
ABCG5	Q9H222	64240
SPTBN4	Q9H254	57731
SLC26A1	Q9H2B4	10861
RAB3GAP2	Q9H2M9	25782
DHX36	Q9H2U1	170506
MIXL1	Q9H2W2	83881
HIPK2	Q9H2X6	28996
TP63	Q9H3D4	8626
KDM4C	Q9H3R0	23081
WNK1	Q9H4A3	65125
RNPEP	Q9H4A4	6051
PIF1	Q9H611	80119
YTHDC2	Q9H6S0	64848
KAT8	Q9H7Z6	84148
ECT2	Q9H8V3	1894
EHMT1	Q9H9B1	79813
SAP30L	Q9HAJ7	79685
XPO5	Q9HAV4	57510
UGT1A7	Q9HAW7	54577
UGT1A10	Q9HAW8	54575
UGT1A8	Q9HAW9	54576
RRAGC	Q9HB90	64121
TRPV4	Q9HBA0	59341
TAF9B	Q9HBM6	51616
SGK2	Q9HBY8	10110
APOBEC3G	Q9HC16	60489
NOD2	Q9HC29	64127
SLC24A3	Q9HC58	57419
NEK6	Q9HC98	10783
SMURF1	Q9HCE7	57154
SYTL2	Q9HCH5	54843
CHD8	Q9HCK8	57680
PDE11A	Q9HCR9	50940
RANGRF	Q9HD47	29098
MYO10	Q9HD67	4651
ABCB6	Q9NP58	10058
GCM1	Q9NP62	8521
MLXIPL	Q9NP71	51085
ABCB9	Q9NP78	23457
FGF20	Q9NP95	26281
ADAP2	Q9NPF8	55803
NOX4	Q9NPH5	50507
MED4	Q9NPJ6	29079
NLRC4	Q9NPP4	58484
ATP13A2	Q9NQ11	23400
HEYL	Q9NQ87	26508
TCF7L2	Q9NQB0	6934
CYLD	Q9NQC7	1540
RRAGD	Q9NQL2	58528
KMT5A	Q9NQR1	387893
PRDM5	Q9NQX1	11107
PRMT8	Q9NR22	56341
DDX21	Q9NR30	9188
TLR9	Q9NR96	54106
SPTBN5	Q9NRC6	51332
PICK1	Q9NRD5	9463
SMYD2	Q9NRG4	56950
DROSHA	Q9NRR4	29102
ARHGAP35	Q9NRY4	2909
TOPORS	Q9NS56	10210
KCNIP2	Q9NS61	30819
LANCL2	Q9NS86	55915
RAD18	Q9NS91	56852
SALL1	Q9NSC2	6299
PNPLA3	Q9NST1	80339
TREX1	Q9NSU2	11277
POT1	Q9NUX5	25913
SLC38A7	Q9NVC3	55238
MED17	Q9NVC6	9440
ARL8B	Q9NVJ2	55207
PRMT7	Q9NVM4	54496
MTPAP	Q9NVV4	55149
HIF1AN	Q9NWT6	55662
THG1L	Q9NWX6	54974
SIRT5	Q9NXA8	23408
SPHK1	Q9NYA1	8877
ABI2	Q9NYB9	10152
MAP3K20	Q9NYL2	51776
ERAP1	Q9NZ08	51752
GRHL1	Q9NZI5	29841
IGF2BP1	Q9NZI8	10642
EIF2AK3	Q9NZJ5	9451
NUDT4	Q9NZJ9	11163
ADA2	Q9NZK5	51816
VAPA	Q9P0L0	9218
MARK1	Q9P0L2	4139
PKD2L1	Q9P0L9	9033
ZBTB4	Q9P1Z0	57659
CALCOCO1	Q9P1Z2	57658
PLCE1	Q9P212	51196
RCC2	Q9P258	55920
STK26	Q9P289	51765
MBD2	Q9UBB5	8932
SAE1	Q9UBE0	10055
NLK	Q9UBE8	51701
XPR1	Q9UBH6	9213
PPARGC1A	Q9UBK2	10891
MTRR	Q9UBK8	4552
HDAC6	Q9UBN7	10013
HEY2	Q9UBP5	23493
GRHPR	Q9UBQ7	9380
UBA2	Q9UBT2	10054
ZMYM2	Q9UBW7	7750
SLC25A10	Q9UBX3	1468
PPP1R1B	Q9UD71	84152
MALT1	Q9UDY8	10892
KL	Q9UEF7	9365
DAXX	Q9UER7	1616
PRKAG2	Q9UGJ0	51422
KDM5B	Q9UGL1	10765
MLX	Q9UH92	6945
IP6K2	Q9UHH9	51447
SLC7A8	Q9UHI5	23428
SLC23A1	Q9UHI7	9963
NUFIP1	Q9UHK0	26747
USP25	Q9UHP3	29761
MED13	Q9UHV7	9969
SLC24A2	Q9UI40	25769
MUTYH	Q9UIF7	4595
ATPIF1	Q9UII2	93974
CNOT7	Q9UIV1	29883
SLC25A13	Q9UJS0	10165
LEF1	Q9UJU2	51176
USP21	Q9UK80	27005
PITPNC1	Q9UKF7	26207
NUDT5	Q9UKK9	11164
CASP8AP2	Q9UKL3	9994
IKZF3	Q9UKT9	22806
HDAC9	Q9UKV0	9734
AMFR	Q9UKV5	267
AGO2	Q9UKV8	27161
AGO1	Q9UL18	26523
ZMYND8	Q9ULU4	23613
FZD4	Q9ULV1	8322
CBLC	Q9ULV8	23624
STAP1	Q9ULZ2	26228
PYCARD	Q9ULZ3	29108
PADI4	Q9UM07	23569
MYO6	Q9UM54	4646
STUB1	Q9UNE7	10273
FAF1	Q9UNN5	11124
ABCG2	Q9UNQ0	9429
MINPP1	Q9UNW1	9562
PLA2G4C	Q9UP65	8605
MACF1	Q9UPN3	23499
PHF8	Q9UPP1	23133
SMG5	Q9UPR3	23381
USP22	Q9UPT9	23326
DICER1	Q9UPY3	23405
EXO1	Q9UQ84	9156
HDAC5	Q9UQL6	10014
CAMK2A	Q9UQM7	815
MTMR6	Q9Y217	9107
DMTF1	Q9Y222	9988
RUVBL2	Q9Y230	10856
PDE10A	Q9Y233	10846
FOXA2	Q9Y261	3170
ATF5	Q9Y2D1	22809
RPH3A	Q9Y2J0	22895
FAN1	Q9Y2M0	22909
PTPN22	Q9Y2R2	26191
THRAP3	Q9Y2W1	9967
MED16	Q9Y2X0	10025
ZNF281	Q9Y2X9	23528
YARS2	Q9Y2Z4	51067
FBXO7	Q9Y3I1	25793
SAMHD1	Q9Y3Z3	25939
TLN1	Q9Y490	7094
KDM3A	Q9Y4C1	55818
WASHC2C	Q9Y4E1	253725
USP15	Q9Y4E8	9958
RAPGEF2	Q9Y4G8	9693
IRS2	Q9Y4H2	8660
TRAF6	Q9Y4K3	7189
MMACHC	Q9Y4U1	25974
ARIH1	Q9Y4X5	25820
NEUROG3	Q9Y4Z2	50674
SHANK1	Q9Y566	50944
PPME1	Q9Y570	51400
PHLDA3	Q9Y5J5	23612
SNX9	Q9Y5X1	51429
NR2E3	Q9Y5X4	10002
IRAK3	Q9Y616	11213
ARFGEF1	Q9Y6D6	10565
IKBKG	Q9Y6K9	8517
NCOA3	Q9Y6Q9	8202
SCIN	Q9Y6U3	85477
