RNAseq_sample_name,replicate_sample,sample_name,well_id,microarray_run_id,ontology_color,main_structure,sub_structure,ontology_structure_id,ontology_structure_acronym,hemisphere,brain,million_clusters,clip_percentage,RIN_RNA_quality,rnaseq_run_id,A.Pct,C.Pct,G.Pct,T.Pct,N.Pct
S010210_L5.LB1,No,S010210,485,275-107,#FF877F,TL,FuG-its,4158,FuG-its,L,1,29.199,5.95,6.9,H15699,25.53,25.03,24.02,25.41,0.01
S010213_L11.LB9,No,S010213,509,275-107,#BF934C,PHG,PHG,4245,PHG-cos,L,1,38.386,40.83,7,V00095,28.81,22.06,27.26,24.91,23.41
S010217_L5.LB6,No,S010217,541,275-107,#895BFF,Str,Putamen,4289,Pu,R,1,31.632,2.05,6.1,H15700,26.68,23.65,22.65,27.01,0.01
S010224_L5.LB6,No,S010224,502,275-107,#895BFF,Str,Caudate,4280,HCd,L,1,36.727,4.39,7.1,H15699,25.98,24.43,23.53,26.05,0.01
S010226_L8.LB20,No,S010226,518,275-107,#7F5B33,CgG,CgG,4226,CgGf-s,R,1,29.029,20.74,6.9,H15699,26.71,25.02,23.85,24.41,0.01
S010227_L1.LB6,No,S010227,601,275-107,#FF5D62,PL,SMG-i,4110,SMG-i,R,1,39.445,1.74,7.3,H16345,25.04,24.82,24.71,25.43,0.01
S010233_L2.LB10,No,S010233,649,275-107,#E8D659,FL,PrG,4018,PrG-sl,R,1,28.501,3.24,7.4,H15700,26.53,23.78,22.77,26.92,0.01
S010235_L4.LB21,No,S010235,665,275-107,#E8CF59,FL,PCLa-s,4076,PCLa-s,R,1,41.742,2.32,6.5,H16345,25.16,24.76,24.46,25.61,0.01
S010236_L6.LB9,No,S010236,578,275-107,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,1,45.072,1.92,7,H16345,25.24,24.78,24.42,25.55,0.01
S010236_L8.LB21,Yes,S010236,578,275-107,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,1,31.573,6.37,7,H15699,25.54,25.06,24.15,25.24,0.01
S010237_L3.LB13,No,S010237,586,275-107,#E8CF59,FL,PCLa-i,4074,PCLa-i,L,1,37.632,1.75,7.5,H16345,25.34,24.61,24.35,25.7,0.01
S010238_L3.LB7,No,S010238,594,275-107,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,1,35.377,2.25,6.6,H15970,25.86,24.2,23.84,26.1,0.01
S010239_L4.LB22,No,S010239,602,275-107,#E8D659,FL,PrG,4013,PrG-sl,L,1,34.971,13.13,6.4,H15699,25.88,25.44,24.1,24.56,0.01
S010241_L8.LB21,No,S010241,618,275-107,#FF6C62,PL,PoG-l,4088,PoG-sl,L,1,29.46,4.29,6.9,H15700,26.03,24.33,23.52,26.11,0.01
S010243_L6.LB8,No,S010243,634,275-107,#FF6C62,PL,PoG-cs,4087,PoG-cs,L,1,43.894,1.77,7,H16345,25.6,24.37,24.16,25.87,0.01
S010248_L3.LB19,No,S010248,579,275-107,#FF5D62,PL,SMG-i,4107,SMG-i,L,1,34.213,2.08,7.3,H16345,25.13,24.84,24.55,25.47,0.01
S010250_L2.LB3,No,S010250,595,275-107,#FF907F,TL,MTG,4146,MTG-i,R,1,33.122,47.71,6.5,V00095,30.82,33.56,26.79,25.77,23.28
S010252_L8.LB16,No,S010252,611,275-107,#FF907F,TL,MTG,4145,MTG-s,R,1,32.699,8.5,6.7,H15967,25.79,25.24,23.87,25.1,0.01
S010254_L6.LB10,No,S010254,627,275-107,#FF8D7F,TL,ITG,4154,ITG-l,R,1,31.577,2.61,6.5,H15700,26.28,23.99,23.09,26.63,0.01
S010265_L13.LB19,No,S010265,612,275-108,#FF997F,TL,STG,4136,STG-i,L,1,48.507,29.07,6.8,V00095,24.24,8.58,26.05,24.74,23.73
S010273_L5.LB1,No,S010273,713,275-115,#FF5D62,PL,SMG-i,4110,SMG-i,R,1,42.575,3.02,6.4,H16345,25.18,24.82,24.51,25.49,0
S010275_L25.LB23,No,S010275,729,275-108,#FF6C62,PL,PoG-l,4093,PoG-sl,R,1,55.279,25.74,6.8,V00091,20.97,7.4,26.54,24.26,23.25
S010281_L7.LB11,No,S010281,682,275-108,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,1,44.849,1.53,7,H16345,25.15,24.78,24.58,25.49,0.01
S010323_L32.LB18,No,S010323,833,275-109,#E8D959,FL,SFG-l,4024,SFG-l,L,1,56.476,22.34,7.2,V00091,21.08,5.8,25.88,24.55,23.75
S010338_L7.LB14,No,S010338,858,275-109,#FF8D7F,TL,ITG,4150,ITG-l,L,1,38.076,5.63,7.8,H15699,25.5,25.06,24.14,25.29,0.01
S010351_L6.LB10,No,S010351,772,275-109,#EFFF61,Ins,Insula,4273,SIG,L,1,33.211,4.86,7,H15699,25.26,25.22,24.15,25.35,0.01
S010354_L6.LB11,No,S010354,796,275-109,#BF934C,PHG,PHG,4247,PHG-l,R,1,46.814,35.27,6.3,V00095,32.6,5.1,26.38,24.21,23.28
S010355_L24.LB22,No,S010355,804,275-109,#BF934C,PHG,PHG,4248,PHG-cos,R,1,55.925,40.7,6.9,V00091,32.16,12.09,26.59,24.83,23.26
S010361_L7.LB13,No,S010361,852,275-109,#FF877F,TL,FuG-its,4158,FuG-its,L,1,28.916,3.32,6.9,H15700,25.55,24.55,23.7,25.74,0.46
S010363_L27.LB4,No,S010363,773,275-109,#BF934C,PHG,PHG,4245,PHG-cos,L,1,49.869,54.1,5.9,V00091,37.79,23.56,26.41,25.51,23.93
S010367_L4.LB23,No,S010367,897,275-113,#E8CD59,FL,MFG,4034,MFG-i,R,1,39.235,1.79,7.6,H16345,25.09,24.76,24.65,25.49,0.01
S010368_L7.LB13,No,S010368,905,275-113,#E8D959,FL,SFG-m,4023,SFG-m,L,1,37.238,12.28,7.1,H15699,26.16,25.2,23.99,24.64,0.01
S010369_L22.LB18,No,S010369,913,275-113,#E8D959,FL,SFG-m,4026,SFG-m,R,1,55.198,26.55,7.3,V00091,23.37,4.93,25.87,24.64,23.72
S010373_L10.LB7,No,S010373,945,275-113,#7F5B33,CgG,CgG,4227,CgGf-i,R,1,53.085,30.84,7,V00091,25.68,6.92,26.26,24.64,23.34
S010384_L5.LB27,No,S010384,938,275-113,#FF6C62,PL,PoG-cs,4092,PoG-cs,R,1,43.789,3.29,6.3,H16345,25.62,24.43,24.04,25.9,0.01
S010392_L3.LB16,No,S010392,907,275-113,#FFF161,Ins,Insula,4270,LIG,L,1,29.503,2.64,6.8,H15700,25.8,24.38,23.64,26.17,0.01
S010402_L20.LB13,No,S010402,892,275-113,#FF997F,TL,STG,4136,STG-i,L,1,55.553,30.23,6.9,V00091,27.31,4.66,25.69,24.94,23.93
S010412_L7.LB25,No,S010412,877,275-113,#EFFF61,Ins,Insula,4274,SIG,R,1,30.493,6.21,7.6,H15967,26.35,24.42,23.34,25.89,0.01
S010414_L5.LB2,No,S010414,893,275-113,#895BFF,Str,Caudate,4286,BCd,R,1,31.247,10.4,6.4,H15699,26.05,25,23.75,25.2,0.01
S010416_L6.LB8,No,S010416,909,275-113,#9C53E8,GP,GP,4298,GPe,R,1,34.401,11.4,5.7,H15699,26.22,25,23.73,25.05,0.01
S010417_L9.LB5,No,S010417,917,275-113,#9C53E8,GP,GP,4296,GPi,L,1,37.063,56.52,5.5,V00091,37.31,30.4,27.72,26.04,22.96
S010419_L3.LB16,No,S010419,933,275-113,#895BFF,Str,Putamen,4288,Pu,L,1,32.487,8.05,6.2,H15699,26.28,24.57,23.34,25.79,0.02
S010420_L8.LB14,No,S010420,941,275-113,#895BFF,Str,Putamen,4288,Pu,L,1,31.376,8.66,6.2,H15967,26.56,24.51,23.29,25.63,0.01
S010425_L6.LB6,No,S010425,985,275-111,#E8D959,FL,SFG-l,4027,SFG-l,R,1,54.998,1.74,7.3,H16345,24.93,24.96,24.76,25.34,0.01
S010431_L5.LB8,No,S010431,1033,275-111,#E8D659,FL,PrG,4019,PrG-il,R,1,50.563,26.39,7,V00095,23.57,5.11,25.82,24.8,23.9
S010435_L8.LB3,No,S010435,970,275-111,#E8D959,FL,SFG-m,4023,SFG-m,L,1,46.89,29.58,7.1,V00091,22.58,9.47,26.21,24.58,23.37
S010436_L1.LB5,No,S010436,978,275-111,#E8D959,FL,SFG-l,4024,SFG-l,L,1,34.429,10.51,7.6,H15699,25.96,25.29,23.79,24.95,0.02
S010437_L1.LB5,No,S010437,986,275-111,#E8CD59,FL,MFG,4030,MFG-s,L,1,36.21,1.75,7.2,H16345,24.97,25.05,24.61,25.37,0.01
S010440_L4.LB8,No,S010440,1010,275-111,#E8D659,FL,PrG,4012,PrG-prc,L,1,53.696,30.36,7.5,V00091,23.42,8.04,25.95,25.04,23.85
S010443_L3.LB4,No,S010443,1034,275-111,#FF6C62,PL,PoG-l,4094,PoG-il,R,1,50.689,34.91,6.8,V00095,25.02,19.34,25.97,25.53,24.16
S010449_L1.LB2,No,S010449,971,275-111,#FF877F,TL,FuG-its,4162,FuG-its,R,1,28.773,4.42,7.4,H15700,26.04,24.28,23.36,26.31,0.01
S010450_L6.LB7,No,S010450,979,275-111,#FF8D7F,TL,ITG,4153,ITG-its,R,1,31.883,8.9,7.4,H15699,26.12,24.74,23.59,25.53,0.01
S010457_L2.LB2,No,S010457,1035,275-111,#FF997F,TL,STG,4138,STG-l,R,1,46.098,2.14,7,H15970,24.86,24.87,24.47,25.15,0.65
S010465_L6.LB8,No,S010465,1004,275-111,#FF8D7F,TL,ITG,4150,ITG-l,L,1,28.874,2.37,6.8,H15700,25.52,24.73,23.84,25.9,0.01
S010476_L5.LB11,No,S010476,997,275-111,#7F6233,CgG,CgG,4230,CgGp-s,L,1,53.522,24.52,7.7,V00091,21.65,1.45,26.29,24.02,23.13
S010477_L12.LB18,No,S010477,1005,275-111,#7F6233,CgG,CgG,4231,CgGp-i,L,1,41.166,34.84,7.2,V00095,25.87,14.03,26.64,24.55,23.43
S010492_L8.LB25,No,S010492,1097,275-112,#00D5E8,CbCx,CbCx,4772,He-Crus I,R,1,31.085,2.02,7.3,H15700,26.05,24.08,23.3,26.56,0.01
S010498_L9.LB3,No,S010498,1145,275-112,#00D5E8,CbCx,CbCx,4761,PV-IX,R,1,43.989,27,7.6,V00095,15.1,22.17,26.43,25.14,23.3
S010504_L6.LB11,No,S010504,1098,275-112,#00D5E8,CbCx,CbCx,4742,He-VIIIA,L,1,30.874,1.57,7.6,H15700,25.6,24.57,23.73,26.09,0.01
S010508_L5.LB5,No,S010508,1130,275-112,#00D5E8,CbCx,CbCx,4738,He-VI,L,1,34.25,8.99,7.6,H15699,25.37,25.45,24.16,25,0.01
S010535_L7.LB14,No,S010535,1209,275-112,#895BFF,Str,Caudate,4284,HCd,R,1,31.553,2.84,6.9,H15700,25.95,24.13,23.21,26.25,0.46
S010536_L1.LB20,No,S010536,1217,275-115,#895BFF,Str,Putamen,4289,Pu,R,1,41.143,53.84,6.6,V00095,44.4,13.38,26.87,24.6,23.09
S010536_L8.LB20,Yes,S010536,1217,275-115,#895BFF,Str,Putamen,4289,Pu,R,1,48.17,2.1,6.6,H16345,25.1,24.57,24.75,25.57,0
S010543_L2.LB4,No,S010543,1178,275-112,#9C53E8,GP,GP,4298,GPe,R,1,47.745,44.92,5.6,V00091,30.86,14.62,25.9,25.26,24
S010556_L2.LB1,No,S010556,1179,275-115,#9C53E8,GP,GP,4295,GPe,L,1,36.32,2.63,5.5,H15970,24.87,24.89,24.45,25.14,0.64
S010557_L35.LB23,No,S010557,1187,275-115,#895BFF,Str,Caudate,4282,BCd,L,1,53.577,52.54,6.5,V00091,47.05,8.48,26.65,24.32,23.28
