0	1	2
ST6GAL2	LAMA1	0.0
SIN3B	GATAD1	0.990303
RANBP2	DDX3X	0.0548314
GPAT3	CHP1	0.427584
KIF5C	DPYSL2	0.00815282
IGF2BP2	RALY	0.442451
RPS11	NSUN2	0.467391
COMMD2	CCDC93	0.937475
UTP18	GZF1	0.134715
CALR	RPS9	0.546569
CAPNS1	CAPN1	0.981923
EYA4	EYA1	0.171414
RRP15	MRTO4	0.997075
VPS54	VPS50	0.557071
ACTL6A	SS18	0.234217
ZNF189	RPS24	0.199905
CNOT10	CNOT8	0.529389
PCMT1	ALDH16A1	0.753913
RPL18	RPL39	0.452665
DDX54	RPS26	0.168446
TRIOBP	MPRIP	0.0
YBX2	GNL3L	0.0
ZNF574	RIOX2	0.124999
DIMT1	MTHFD1	0.07131060000000003
PHAX	DHX30	0.221936
RPL37A	PES1	0.988369
LIN9	MYBL1	0.133451
SUPT16H	RPL31	0.0131947
NAA30	PPARD	0.291429
POP1	GNL3	0.997768
UTP18	DDX47	0.140426
BCL7C	SMARCA4	0.538118
PUM3	STAU2	0.705448
LTV1	CCDC137	0.581638
OCRL	SEC13	0.165878
HIST1H1B	RPL27A	0.836016
MRPL46	MRM3	0.578142
HNRNPH1	HNRNPA1L2	0.999017
RBM28	DKC1	0.985817
ZBTB11	RIOX2	0.262994
RTN4	ATP1B2	0.965084
GNL3	SDAD1	0.161216
RPS16	FAU	0.97791
RPL9	RPS9	0.999999
MRPL2	MRPL34	0.997497
PUM3	EBNA1BP2	0.999758
DGCR14	ISY1	0.242116
MED1	CDK8	0.997194
RPL34	G3BP1	0.0744654
XRN2	ZNF574	0.382986
DDX50	RPL17	0.970943
TTF1	NIP7	0.513205
DDX50	IMP4	0.420566
SSFA2	INF2	0.110709
XRN2	LTV1	0.369939
PWP1	C8orf33	0.385361
GTPBP4	GZF1	0.837802
SUSD4	MAPK3	0.0
HP1BP3	RRP8	0.825959
SNRPE	SRSF11	0.0
UBE2D2	RNF25	0.943275
ABT1	KRI1	0.33107800000000004
STX1A	HIST1H2BL	0.5
DTYMK	PRDX1	0.48338
VPS35	SNX2	0.975921
SERPINB13	GART	0.0858529
PSMA7	PSMG4	0.27255
IMP3	IMP4	0.70173
ZSCAN25	NSA2	0.404509
IGF2BP1	RRBP1	0.00454933
H1F0	TSR1	0.174307
IFRD2	NPM3	0.194323
HNRNPH3	EIF4H	0.864658
RPS18	RPS5	1.0
BYSL	RPL35	0.100579
RRP1B	EBNA1BP2	0.75261
RPS29	RPL34	0.997852
WNK3	NRBP1	0.110477
KIN	TOX4	0.0
CCDC86	NOC2L	0.344348
RSL24D1	DDX47	0.0
YWHAE	YWHAG	0.979721
TMUB1	MBOAT7	0.445836
AMPH	GLS	0.288593
RSL1D1	ZNF189	0.17797000000000002
MED16	MED15	0.998671
ZBTB11	ESF1	0.0
RGN	TTC5	0.0
HMGB2	MYLK	0.0964212
TTF1	RPL15	0.712968
THOC2	RBM39	0.7632439999999999
RPS27L	TUFM	0.0
TUBGCP2	MZT2A	0.997494
LGALS8	ATP13A3	0.547268
EIF1AX	NHP2	0.0
GNL3	ZNF771	0.885942
RPS24	LARP1	0.993567
HEATR5A	FEZ2	0.151455
CTTN	ABLIM1	0.136274
EPC1	EP400	0.99425
NIP7	YTHDF3	0.171184
KIF5C	SNAP25	0.268458
RASSF7	TP53BP2	0.95096
MUS81	MTPAP	0.14852200000000002
SNCA	VSNL1	0.270404
YBX3	RPS25	0.403065
SYT2	ACADL	0.531511
CDC5L	PPIE	0.999429
PKN1	PCYOX1L	0.123797
SLC17A5	TMEM63A	0.28781100000000004
ZKSCAN3	ZSCAN29	0.414998
HSF1	HSF2	0.979289
EEF1G	RPL34	0.211961
PWP1	RPL36	0.986884
TRIM38	STAG1	0.194708
RPL28	RPL8	0.540362
SLC39A4	GOLM1	0.683376
PKP4	CLEC11A	0.856297
SH2B2	FRMD4A	0.171414
PPAN-P2RY11	NOC4L	0.0946922
SMARCA2	BRD7	0.584504
SNRNP40	XAB2	0.541674
ZC3H8	GTPBP4	0.589317
GRWD1	RPS9	0.0
ACTN4	SPECC1	0.475688
UTP3	MYBBP1A	0.3332
OR4K3	GPN2	0.0
LARGE1	PLAUR	0.539473
SAFB2	ILF3	0.126356
RPF1	MOV10	0.319447
SSB	SLC25A4	0.0
ZCRB1	MRTO4	0.119919
NDUFB8	NDUFAF4	0.16233599999999998
BYSL	NOLC1	0.0
ATP5J2	HADHB	0.08011660000000001
DDX31	RPS26	0.262994
MED13L	MED7	0.971286
MYL6	SPECC1L	0.119158
C5orf34	IQSEC2	0.171414
UGGT2	BMP7	0.31808200000000003
SMARCC2	SMARCD1	0.999992
NACA2	RCN1	0.8897799999999999
MYBBP1A	PHAX	0.149808
YAP1	TEAD3	0.942687
RPL34	RPL21	0.999959
MED21	MED25	0.378212
FOCAD	ZCCHC9	0.0
MRPL45	MRPL17	0.991848
RPL35	RPS27	0.999926
MYH7B	RPLP0	0.600919
SYT1	RAB14	0.288313
GTF2IRD1	DNAJA4	0.391579
CCDC124	RPL36AL	0.0
MAT2A	HNRNPH1	0.779637
RPS2	DDX47	0.563882
RRP15	ZC3HAV1	0.898797
PRDM15	DDX47	0.0
EEF1G	RPL13	0.973184
SRP14	RPS3	0.313835
DDX56	LARP1B	0.139771
MCOLN1	GABRB3	0.171414
USP15	CHD4	0.0
ZNF22	NMNAT1	0.427584
PSME1	PSMG2	0.93342
MRPL11	SLC25A10	0.0
TAF12	TAF9	0.452497
CALB2	PPP3R1	0.397095
HIST1H2BL	NCALD	0.778296
DDX10	STAU2	0.15375899999999998
RPL17	ZCCHC9	0.4456770000000001
MRPL41	MRM3	0.180888
RPL29	RPL34	0.117305
CCT3	DNAJC19	0.06670380000000001
PTTG1IP	VAMP4	0.123789
EXOSC1	MPHOSPH6	0.998963
UPF1	DKC1	0.852876
TOE1	SPOUT1	0.127194
RSBN1L	LARP1	0.0993293
U2AF1L5	IK	0.0
CCT7	CCT4	0.994463
MAN2A2	MGAT5	0.353664
ATP5D	ATP5I	0.0456492
FOXRED2	COL18A1	0.60734
MCAT	FASTKD2	0.210613
FOXRED2	CHID1	0.274547
CNTN1	MAPT	0.4864729999999999
SIPA1	ACTRT1	0.137378
NIFK	MYBBP1A	0.769701
PRPF3	RBM25	0.773217
ORC5	ORC2	0.870692
SERBP1	GZF1	0.0
EIF3K	EIF3L	0.975899
SRRM1	SRSF3	0.98862
CSTF2T	PCF11	0.0748257
SVIL	PPP1R12A	0.185761
ISYNA1	ATP1B1	0.0536698
ZNF629	MRPS26	0.447665
PSMA8	PSMA6	0.992543
RPL30	RPL3L	0.999418
CCDC137	DDX56	0.7762399999999999
GPN1	POLR2E	0.983642
SURF6	ZNF622	0.10666
YTHDC2	PHAX	0.13989400000000002
SRP68	UTP18	0.231216
SRRM1	LARP1	0.671021
STAU1	C7orf50	0.8577940000000001
CALCOCO1	CLMN	0.120276
LRIF1	ZNF131	0.0
PDE7A	THBS3	0.509707
SURF6	NSA2	0.934667
ZCCHC14	HBP1	0.171414
PUF60	ARGLU1	0.610715
ARPC1A	ACTR2	0.999981
NYAP2	PIK3CD	0.144297
OSBPL9	ENDOG	0.0931445
EIF2S1	UBA52	0.0
ABHD16A	METTL25	0.151455
PUF60	RNPS1	0.991253
ACIN1	PRPF8	0.243748
NMNAT1	GTPBP4	0.34641700000000003
HSP90AA1	UBA52	0.278139
DDX24	RIOX2	0.5825
RPL35A	RPL37	0.908938
L1CAM	SNCB	0.6375390000000001
CEBPZ	PABPC4	0.115112
NDUFB8	NDUFB3	0.313012
EEF2	RPLP2	0.0
HMBS	HNRNPA1L2	0.0
TERF2IP	ACD	0.824592
TPR	CDC5L	0.979402
ZCCHC3	IMP4	0.319447
RPL38	RPL23	0.999682
LIN28B	ZNF770	0.5
RPL4	RPL27	1.0
ARNTL2	OLFM2	0.171414
BCAT1	HELLS	0.0
RSBN1L	ZCCHC3	0.1021
MED8	MED29	0.999521
NDUFA13	NDUFS3	0.606688
SRP14	NPM3	0.387067
NUP188	NUP214	0.6112989999999999
TRIP4	ASCC1	0.982107
SSFA2	COBL	0.229385
EIF3CL	EIF3H	0.988943
GRWD1	RPS20	0.0
RPS26	CCDC137	0.5786220000000001
RPL7A	RIOX2	0.855075
CALR	EEF2	0.161915
PPP1R12A	TPM4	0.0467895
POLR1A	POLR1D	0.999999
CREBBP	CDKN1C	0.163688
MYL12B	MYO18A	0.909682
PPP2R5D	SERTAD4	0.0
BTF3	RPS4X	0.151368
BICRA	SS18L1	0.117318
PABPC4	GTPBP4	0.665754
DCTN6	DCTN4	0.999311
CFL2	MDH2	0.441533
DARS	AIMP2	0.996255
RPS14	RPL21	1.0
ABI1	KIAA1522	0.955226
SRPK1	FBL	0.456518
NTM	SYN1	0.345713
HMGB2	CORO1B	0.132864
CDK11A	CCNL1	0.296442
ZNF512	NOL12	0.895366
FAM161B	RGN	0.0
PPAN-P2RY11	RPS26	0.352008
PPP1R2	PPP1R3B	0.28781100000000004
RPS3A	H2AFX	0.152002
RPL24	RPS15	0.999995
TPRN	MYO5A	0.7091189999999999
RRP9	REXO4	0.560215
SRP72	PRRC2C	0.8846860000000001
TSC22D1	WNK2	0.123797
IGF2BP1	HSP90AB1	0.106816
NHP2	NOLC1	0.0
DDC	FASTKD5	0.117305
GNL2	ZC3H8	0.7077260000000001
CYP2C9	CYP2C18	0.984264
SUPT7L	TAF12	0.643612
NCKAP1	WASF2	0.936246
MYEF2	GNL3	0.43464
FOS	JUND	0.7145630000000001
SERBP1	NVL	0.158719
NOC2L	SDAD1	0.789312
RPL39	RPL3	0.994035
PRPF4	NUDT21	0.608228
SRSF8	NKAP	0.27255
L1CAM	SNAP25	0.463714
GTPBP4	DDX10	0.55545
RPL13A	SURF6	0.993474
SRRM1	SRSF2	0.145739
IFRD2	RPL7A	0.191619
MRPL15	MRPL55	0.996185
TMEM132A	FOXRED2	0.6023390000000001
SESTD1	SIPA1L2	0.123797
PRR11	EBNA1BP2	0.0765672
SSH2	MYL6B	0.345689
ABCB9	PRSS16	0.0
FOCAD	DHX30	0.194323
RPL10	RPS3A	1.0
SEH1L	SMPD4	0.348339
DNM1L	MAPT	0.39406
IDS	POLDIP2	0.30445700000000003
ACTG1	PPP1CB	0.106942
RPL6	RPL37	0.999601
NOP2	RBM28	1.0
ATP5O	SLC25A4	0.401273
PLEKHG3	AFAP1	0.436897
HP1BP3	ZSCAN25	0.295648
VWA8	AACS	0.0
DHX30	DDX47	0.373726
GNAQ	GNB1	0.938394
C14orf105	POTEKP	0.990875
GADD45GIP1	MRPL10	0.980178
DSG2	LIMCH1	0.08140739999999999
ZBTB25	CARNMT1	0.922677
RPL4	RPL3L	0.998368
ARPC4	CORO2A	0.437205
EIF3M	EIF4G2	0.392732
HP1BP3	RPS26	0.352008
NOC3L	FTSJ3	0.918696
NOP56	IMP4	0.800888
GSR	AKR1A1	0.0219215
DHX30	RTCB	0.153846
COG2	COG1	0.997956
EIF1AX	H2AFX	0.0
HP1BP3	DDX55	0.0993368
PWP1	RPS7	0.115857
FABP5	AKR1B15	0.0
RPL35A	SND1	0.0413762
IFRD2	USP10	0.194323
ADA	APRT	0.988017
INTS4	INTS11	0.999089
GNG2	DCLK1	0.643612
USP36	TEX10	0.13062
ANAPC2	FBXO5	0.987752
PURA	ZSCAN25	0.281833
EPB41L1	SYN1	0.684525
XPO6	COG4	0.33825500000000003
AP1G2	AP1M2	0.959495
CCNB1	SKP2	0.194209
SRP72	H1FX	0.7150810000000001
HIST1H1C	SND1	0.10666
HIST1H1A	YBX1	0.152897
RPLP1	RPS14	0.977317
ZCRB1	SMARCA5	0.079886
HADHA	ATP5C1	0.7076359999999999
NOL6	RPL37	0.0974347
ZSWIM6	SAAL1	0.0
NIFK	NGDN	0.113585
HIST1H1D	RPS23	0.975896
TMED5	TMED3	0.5179020000000001
MEPCE	RPL34	0.0
IFRD2	HSP90AB1	0.0338454
RPF1	RPL26	0.303597
TRAPPC3	TRAPPC5	0.988815
CFL1	MYO5B	0.635586
GTPBP4	FTSJ3	0.999944
MRPS2	MRPS18B	0.995172
BRIX1	UPF1	0.62903
SF3B1	EIF2S2	0.16243
KIF5C	RAB7A	0.210613
NELFA	NELFE	0.999951
SEC22A	CNTNAP1	0.171414
DDX55	NOC3L	0.08909589999999999
UTP20	RPL36AL	0.0
DDX50	YTHDF3	0.188321
ATP5B	SLC25A4	0.581254
RRP15	RPS19	0.609681
PWP1	GLYR1	0.8707370000000001
C15orf52	C19orf47	0.173369
NAP1L4	SLC25A5	0.0
SSB	RPL37	0.0
UTP4	GSG2	0.378086
ZNF189	RPL17	0.205225
KNOP1	LLPH	0.575986
EEF1B2	RPLP0	0.989548
IGF2BP3	EIF5B	0.0
COMMD10	CCDC93	0.939964
ZNF512	RTCB	0.0974347
SLC35F6	ABCD3	0.0569925
EXOC7	XPO4	0.583155
ZNF668	C1orf35	0.180888
RRP15	YBX1	0.73455
COX7A2L	MT-CYB	0.151455
XPO7	DNAAF5	0.607101
ZNF668	RSL24D1	0.160427
MRPL33	MRPL30	0.805188
SRRM1	ZCCHC3	0.32726
BCAS2	DGCR14	0.147196
POP1	RRP9	0.776285
RPL6	RPL39	0.998467
SERBP1	RPL24	0.971926
YBX3	RPL21	0.724995
LDLRAD4	DPY19L1	0.910405
DDX23	PRPF8	0.999995
SEH1L	RANBP2	0.939123
RPS21	RIOX2	0.236285
CDK12	DHX9	0.0477636
GNL3L	RRP8	0.0
RPL26	MTHFD1	0.0
IFT22	TRAF3IP1	0.140692
ZBTB20	MYLK	0.194323
NOL6	RPS5	0.881266
CANX	NAP1L1	0.0286291
HIST1H1C	FBL	0.109263
ACTR10	DCTN2	1.0
PRDM15	MPHOSPH10	0.356858
BTF3	RPS15A	0.996733
STAU1	DDX31	0.974513
RPL28	RPS17	0.212477
H2AFV	MTPAP	0.100589
NGRN	MRPL16	0.261193
RPS18	RPS20	0.999978
LRR1	COPS6	0.591434
PEX11B	LYPD3	0.744316
HIST1H1D	PES1	0.214435
RHBDF1	HOXB6	0.171414
PPAN-P2RY11	ZNF574	0.326362
PABPC4	DDX24	0.4300479999999999
RRP15	LLPH	0.519015
RAB23	TNRC6C	0.0
MBL2	SERPINC1	0.101333
KHDRBS1	DDX5	0.7390399999999999
RPLP1	RPL14	0.999087
RPL36A	RIOX1	0.14852200000000002
PURA	NSA2	0.939003
CAMK2B	VSNL1	0.5317430000000001
STAU1	RRS1	0.773174
ARG1	NCCRP1	0.368334
SPTY2D1	NMNAT1	0.110734
AKAP2	COBL	0.619252
RPS23	ZFP62	0.247862
LRIG1	FAM69B	0.211445
SLC12A2	SLC4A7	0.279082
ZC3H7B	FUS	0.0
GLRX3	NAE1	0.8604629999999999
FABP7	TALDO1	0.748765
ANK2	SNCB	0.452497
SNCA	DPYSL2	0.194225
DENND1A	PICALM	0.801531
TOP2B	RPL10	0.905494
RPL36A	IMP3	0.35152100000000003
MPHOSPH8	FAM208B	0.8843850000000001
PTPRK	KIAA1549	0.30286
BMP7	HYAL2	0.116085
YTHDF3	DHX30	0.14852200000000002
YBX3	RPL29	0.0
GPR89A	SIGMAR1	0.64045
RPS23	RPL3L	0.999704
CSTF2	PCF11	0.874484
AATF	DHX30	0.8550610000000001
CTCF	DDX50	0.303361
LIN28B	NOC3L	0.4457390000000001
ERFE	ST3GAL4	0.132253
RPL14	RPL11	1.0
RPS10	NOP10	0.173238
PPP2R1A	PPME1	0.316191
RRP12	NKRF	0.824508
RBMX2	MRPS22	0.132684
LTV1	UPF1	0.218984
SRP72	XRN2	0.434907
ANKRD44	PPP6C	0.997081
HMGB2	CALM1	0.122915
HMGB2	SSH2	0.15756199999999998
NIP7	SDAD1	0.8782700000000001
ATL3	CSNK1G2	0.109293
DSCR3	FAM45A	0.681972
PIK3AP1	DOK1	0.171414
SERBP1	NAP1L4	0.0119339
DDX10	IMP4	0.40365
CEP170	KIFC3	0.993414
GNL2	WDR36	0.128004
LRRFIP2	AFAP1	0.17125
GSR	ALDH5A1	0.262798
RPS2	RPS27A	0.999988
ZNF423	USP15	0.0
EBNA1BP2	HNRNPC	0.18224
RPS26	LARP1	0.178031
SERBP1	G3BP1	0.778662
SNRPC	CDK12	0.0
TMEM132A	SGSH	0.322601
RFPL4B	RFPL4A	0.910778
SEH1L	RGPD8	0.549711
SURF6	YTHDF3	0.0
MRTO4	DDX47	0.311077
MRTO4	NOP56	0.998052
SYN1	STX1B	0.837815
RPS24	DDX31	0.901182
RGPD3	JUNB	0.940319
NOP58	FBL	0.999898
EP400	MORF4L2	0.750946
ZC3H18	RNPS1	0.989869
NGRN	MRPL57	0.521016
PLTP	CERCAM	0.17873599999999998
PALM	YES1	0.698074
RTF1	PAF1	0.401016
DDX50	WDR12	0.19996
SHISA2	PTGES2	0.482666
RTF1	IWS1	0.310429
ZC3H18	SRSF3	0.406389
SSBP2	ISL2	0.925663
KIF26B	ABLIM2	0.171414
ADSL	HIBCH	0.38467
PAK1IP1	ZCCHC9	0.353664
LCOR	ZEB1	0.133456
GLS	NCALD	0.223449
RPL34	USP10	0.0
RPL4	RPL22	1.0
EXOC7	FANCD2	0.313319
TNIK	CEP95	0.133456
TUBA1C	TUBB6	0.8143229999999999
RNF138	MARK2	0.112499
ZFAND5	ZFAND6	0.0
DSG2	SPECC1	0.255706
PLTP	NAGLU	0.262314
EIF3B	RPL12	0.0914363
CYP51A1	TYW1	0.359608
RPL23	RPS20	0.999788
MED15	MED27	0.993892
CEBPZ	BRIX1	0.390831
TWF1	MYO5C	0.785185
C5orf30	SPDEF	0.821459
CCDC59	RPL17	0.115015
IFNA14	IFNA5	0.548299
KPNA4	BCL11A	0.273912
PPP1R2	PPP1R37	0.151455
OSBP	PDE4A	0.120276
ZNF707	TOR2A	0.818757
MBD3	CDC73	0.08379919999999999
PALM	GNA11	0.305924
HIP1R	GTSE1	0.537763
MRPL14	MRPL13	0.9989
DNM3	DNM1	0.960021
AATF	DDX24	0.559081
AATF	GNL2	0.7951060000000001
DPYSL5	DPYSL3	0.748529
YARS2	MRPL22	0.278765
PXN	PARVB	0.27033
BCLAF1	ACIN1	0.8476540000000001
HOXC9	MKNK2	0.151455
GPM6B	HPCA	0.5830649999999999
MRPL18	MRPL12	0.61345
CDK12	PRPF31	0.0925168
PRPF3	PRPF31	0.999987
STXBP1	CRMP1	0.783071
RPS4X	NOLC1	0.29743400000000003
MKI67	MTPAP	0.14852200000000002
NMNAT1	IMP4	0.166956
C7orf50	RRP1B	0.231263
RBM34	RRS1	0.991227
L1CAM	NCALD	0.6375390000000001
RPS26	ZNF574	0.303195
RPL5	RPS8	1.0
PPIL4	HDGFL2	0.289798
PAK1IP1	PABPC4	0.345765
NSUN2	HNRNPC	0.0
CDC27	CDC16	0.999995
INTS9	INTS6	0.594072
NIFK	DDX56	0.868812
NUDT5	HK2	0.558605
HIST1H1D	MTHFD1	0.0
CLUAP1	IFT80	0.133456
DHX57	IGF2BP3	0.138542
FTSJ3	PAPD5	0.804551
CCDC137	MYBBP1A	0.98993
PUM3	RPL35	0.16897
GPAT4	FADS2	0.313319
RPS6	HSP90AB1	0.899977
DCP1A	EDC3	0.999934
GPX4	ENO2	0.774641
SIN3A	ARID4B	0.290136
SH2B2	ZBTB49	0.171414
NDUFB8	MT-ND4	0.313012
PAM	TAZ	0.367483
RPL5	RPS4X	0.999999
MYC	SRCAP	0.0896254
NOP2	BMS1	0.140638
UCP2	GPR18	0.0
LMNB1	MBD3	0.323588
PHF10	PBRM1	0.439122
NUP93	TMEM209	0.329499
RPSA	PES1	0.09667689999999997
SNRNP40	WBP11	0.7434149999999999
RBM19	GPATCH4	0.352008
DSTN	TIA1	0.0255212
POLR2K	POLR1D	0.458243
AAAS	NEMP1	0.299563
PWP1	WDR36	0.0
MRPL15	MRPL2	0.997562
TPRN	LRRFIP1	0.06683389999999999
RPL35A	RPS20	0.975909
MRPL14	MRPL28	0.943141
ADRM1	PSMC1	0.998105
PICALM	PIK3C2A	0.718195
NUP160	TMEM214	0.8659129999999999
SMARCB1	SS18	0.698897
HIST1H1D	HNRNPC	0.0
TAOK1	GPKOW	0.0
IL17RA	CHID1	0.16987
PUM3	RPL23A	0.990409
YBX2	MRTO4	0.0806609
LLPH	CHERP	0.184886
ZKSCAN1	SCAND1	0.192211
ZSCAN25	LYAR	0.250594
RPA1	RPA4	0.241341
TPR	EFTUD2	0.951525
PAK1IP1	SRRM1	0.2652
EIF3M	EIF3CL	0.999276
SPTY2D1	GZF1	0.190535
PUF60	TRA2A	0.143623
ZNF689	PAPD5	0.192791
CEBPZ	YTHDF3	0.0
SMARCA2	BCL7B	0.876775
PPP1R2	CSRNP1	0.151455
RPL18A	RPLP0	1.0
GNL2	DDX47	0.541415
RPL15	FTSJ3	0.999991
KDM5C	SCML4	0.561071
PUM3	TTF1	0.742854
LLPH	ZNF622	0.0
GLS	GNAO1	0.0630204
LTV1	NOP56	0.12447
POF1B	SBSN	0.430656
TOE1	WDR12	0.178733
PWP2	DDX49	0.0
GNAI2	GNG11	0.123797
KANK2	FAM83B	0.0897674
RPL38	RPL23A	0.987516
KIAA0907	STARD7	0.973871
CDC5L	PSIP1	0.810701
TOE1	LTV1	0.390904
YTHDC2	C12orf43	0.251742
PPWD1	SYNCRIP	0.41062
KARS	AIMP2	0.975936
DHX57	DHX30	0.921202
CTCF	C12orf43	0.0
YTHDC2	PES1	0.550951
SF3B1	PLRG1	0.975915
SRPK2	RPS4X	0.620304
CBARP	PPP1CC	0.937575
MRPL16	MRPL34	0.99676
RPL26	ATP5C1	0.0
RPS12	SLC25A6	0.0
SRSF4	PRPF4B	0.920481
SURF6	ZCCHC3	0.28691
TBC1D24	CHMP1B	0.683341
REXO4	YTHDF3	0.0
RPL38	EBNA1BP2	0.16429000000000002
APOA2	CP	0.171414
ZNF22	RSBN1	0.146782
MEPCE	RPS15A	0.402168
DDX31	SPOUT1	0.55915
VAMP2	NAPB	0.459473
CHID1	MAN2B1	0.0846717
LRP4	RPS28	0.198303
NPM1	H2AFV	0.7015170000000001
UPB1	PCID2	0.68797
CDK2	CKS1B	0.99893
YBX3	SPOUT1	0.0
PAK1IP1	NKRF	0.880998
TES	MYO5B	0.349963
YBX3	UTP20	0.0303649
POMP	PSME2	0.352711
RPS6	MPG	0.476617
ZGPAT	SPIN1	0.8307950000000001
LMNB1	LUC7L	0.0
CASC3	SRSF1	0.64045
PEX11B	DPY19L1	0.123797
EEF1B2	EEF1G	0.837892
EEF1B2	RPS7	0.973495
SRSF10	PPHLN1	0.0
ANXA2	TWF1	0.323515
BTAF1	ZNF696	0.07486169999999999
NHP2	RRBP1	0.0
RPL4	RPS5	0.999999
MEIS1	MEIS2	0.838651
ZCCHC9	RPS17	0.100003
ZNF189	RBM19	0.310733
RSL1D1	ZBTB24	0.321988
ZNRF1	FBXW5	0.352444
HNRNPK	CUX1	0.2184
RPS23	RPL26L1	0.204316
NOP2	PAPD5	0.762927
LRPPRC	SLIRP	0.14386500000000002
GPD1	TALDO1	0.735122
EDEM3	SGSH	0.466721
USF1	USF2	0.997382
PABPC4	PHAX	0.0373326
SMC6	NSMCE3	0.981799
NIFK	C12orf43	0.0
