0	1	2
DBN1	ACTG1	0.8931889999999999
EIF2S1	EBNA1BP2	0.08872469999999999
HNRNPU	HSP90AB1	0.198868
GIGYF1	ZNF140	0.171414
TRAC	AK6	0.0
TEAD1	VGLL4	0.7328399999999999
CERCAM	KDELC1	0.20920500000000006
TPR	PRPF40A	0.8672110000000001
SYN2	VSNL1	0.5
PSMA8	PSMD14	0.280702
KIAA0907	NAT2	0.0
PUM3	UBA52	0.104417
LYG2	S100A3	0.202889
RPS15	RPF2	0.738142
FARS2	C1orf35	0.138527
SEH1L	TMEM209	0.753405
DDX50	RSL1D1	0.908307
YBX3	DDX10	0.122025
SNRPA1	SNU13	0.350559
EIF1AX	NOLC1	0.0
SERBP1	PHAX	0.0833923
PUM3	RBMX2	0.29793200000000003
PSMA2	PSMB7	0.0674568
RPL38	FAU	0.991376
CCAR1	LAMC1	0.8066760000000001
CEP295	SSX2IP	0.237681
RABAC1	ENDOD1	0.109293
TBCCD1	STRN	0.185498
SNRNP40	PHF5A	0.0691455
GZF1	RTCB	0.0
MYO18A	ACTG1	0.748391
EEF2	RPL3	0.975948
SUPT16H	CANX	0.0
EEF1B2	TUBA8	0.0
GADD45GIP1	MRPL38	0.999936
PLCL2	PPP1R11	0.242266
MRPL10	PTCD1	0.15375899999999998
EIF3B	G3BP1	0.405445
POLR3F	POLR3B	0.965209
SNRPC	CD2BP2	0.0
CDH13	STX1B	0.6375390000000001
PWP1	STAU2	0.34045
CCDC124	LARP1	0.937534
AP3D1	AP3B1	0.975922
SND1	TSR1	0.435331
CEBPZ	LTV1	0.208223
NDUFS6	NDUFV2	0.92844
EEF1A1	RRBP1	0.0149172
MEGF8	MAN2A1	0.204383
PABPC4	UTP18	0.0641549
UTP14A	NVL	0.142005
RRP8	DDX24	0.898582
CNOT10	BTG3	0.200769
RPL4	RPL6	1.0
PPP4R3B	PPP4C	0.689186
C17orf49	BPTF	0.520969
TRA2A	SREK1	0.100735
PRDM15	PURA	0.321988
RPF1	DDX56	0.553466
ZNF768	TSR1	0.310537
FKBP1A	SOD1	0.459323
TFIP11	SF3A2	0.0
EEF1B2	NCL	0.146195
ZBTB24	LIN28B	0.179348
ZNF629	DDX18	0.341402
LRRC1	VIPAS39	0.0
RPL32	NMNAT1	0.287925
MEPCE	EIF3B	0.0775955
TTC37	NOP10	0.11839
PABPC1	RPL7	0.989702
RPLP0	CANX	0.207446
ZNF629	DHX57	0.584761
SH3BP5	RAB11B	0.917725
NAP1L1	EIF5B	0.31561
C7orf50	RPS26	0.237551
RPL23	USP10	0.301404
EIF3B	ATP5A1	0.305487
BLOC1S4	SNAPIN	0.112484
SERBP1	ZCRB1	0.0
KIF14	AGGF1	0.0881436
GPR89A	VKORC1L1	0.447834
HIST1H1B	RRBP1	0.0783845
SARAF	CAPN7	0.251742
NOP16	TSR1	0.644461
NOP10	RPS27	0.13911700000000002
RPS18	RPS7	0.999296
HIST1H1C	RPS27	0.100532
RPL12	SLC25A5	0.928148
TTF1	C12orf43	0.0
GNAO1	GPM6A	0.159734
REEP3	FNDC4	0.986716
RPS27L	RPS4X	0.999637
SLC43A3	TMEM33	0.0801012
FOCAD	XRN2	0.0905251
RSBN1	FYTTD1	0.22536
NAT10	IFRD2	0.08696960000000001
RPL37A	RPLP2	0.99991
COMMD8	COMMD5	0.749181
DOCK3	ELMO1	0.958174
PHB	ATP5H	0.0528914
RPL31	RPS8	1.0
RPS23	RPL12	1.0
RPL14	MTHFD1L	0.7318819999999999
CUL2	CUL4A	0.118663
SERPINA1	ALB	0.633252
FBXL15	CUL1	0.461193
PSME1	PSME4	0.467959
ZNF768	ESF1	0.0
MRPL10	TRUB2	0.27174
RPL17	DKC1	0.915741
EEF1A1	ZNF622	0.0850495
KATNA1	KATNB1	0.983751
DDR1	CASP8	0.140692
ALDOC	PGD	0.765273
CHD6	CHD9	0.0730688
RPS11	RPL12	0.999998
ZNF689	GNL3L	0.0
ATP5O	PES1	0.0572573
EEF1G	RPS17	0.0741449
RPL4	RPS8	1.0
DHX57	IMP3	0.484392
RPL5	HNRNPC	0.7569229999999999
RUVBL1	USP39	0.324307
RAB3A	DPYSL4	0.39406
RPL5	PABPC1	0.998412
MAGEA4	PHF8	0.0
SLC25A3	G3BP1	0.0846967
TONSL	MMS22L	0.171414
CAVIN3	GOLT1B	0.217736
HK2	CRK	0.368786
RPL13A	EIF2S1	0.788887
RPL18A	UBA52	0.914014
EIF4G2	EIF4A1	0.419353
YARS2	MRPL47	0.377604
RRS1	STAU2	0.365568
