RNAseq_sample_name,replicate_sample,sample_name,well_id,microarray_run_id,ontology_color,main_structure,sub_structure,ontology_structure_id,ontology_structure_acronym,hemisphere,brain,million_clusters,clip_percentage,RIN_RNA_quality,rnaseq_run_id,A.Pct,C.Pct,G.Pct,T.Pct,N.Pct
S020226_L4.LB19,No,S020226,4915,275-203,#FF997F,TL,STG,4139,STG-i,R,2,34.442,1.72,8.1,H15601,25.29,24.8,24.29,25.61,0
S020227_L6.LB3,No,S020227,4923,275-203,#FF907F,TL,MTG,4145,MTG-s,R,2,35.037,8.63,7.4,H15967,25.07,25.43,24.55,24.94,0.01
S020229_L4.LB22,No,S020229,4939,275-203,#FF997F,TL,STG,4135,STG-l,L,2,31.288,3.33,7.5,H15601,25,25.29,24.62,25.09,0
S020233_L7.LB14,No,S020233,4971,275-203,#FF8D7F,TL,ITG,4151,ITG-mts,L,2,30.868,1.92,8.3,H15601,25.4,24.78,24.12,25.7,0
S020235_L2.LB5,No,S020235,4987,275-203,#E8CF59,FL,PCLa-i,4074,PCLa-i,L,2,36.159,3.02,6.7,H15970,25.13,24.64,24.2,25.39,0.65
S020236_L7.LB15,No,S020236,4900,275-203,#E8CF59,FL,PCLa-s,4076,PCLa-s,R,2,31.095,22.87,7.2,H15603,26.15,25.58,24.44,23.55,0.27
S020237_L5.LB3,No,S020237,4908,275-203,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,2,47.275,4.19,6.9,H16345,24.71,25.31,25.02,24.95,0.01
S020237_L8.LB18,Yes,S020237,4908,275-203,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,2,50.011,2.79,6.9,H16345,24.57,25.57,25.02,24.83,0
S020245_L8.LB19,No,S020245,4972,275-203,#FF877F,TL,FuG-its,4162,FuG-its,R,2,32.335,2.32,7.4,H15601,25.57,24.55,23.98,25.89,0
S020246_L7.LB12,No,S020246,4980,275-203,#FF7B62,PL,SPL,4101,SPL-s,R,2,36.948,2.98,7.4,H15967,25.08,24.99,24.43,25.5,0.01
S020247_L4.LB21,No,S020247,4988,275-203,#FF5D62,PL,AnG-s,4116,AnG-s,R,2,30.128,1.96,7.8,H15601,24.86,25.23,24.68,25.22,0
S020248_L3.LB15,No,S020248,4901,275-203,#FF7B62,PL,SPL,4098,SPL-s,L,2,31.733,3.69,7.3,H15601,25.66,24.71,23.97,25.67,0
S020249_L2.LB5,No,S020249,4909,275-204,#FF7462,PL,Pcu,4120,Pcu-s,L,2,29.101,4.97,8.4,H15603,25.33,25.16,24.56,24.95,0
S020254_L2.LB9,No,S020254,4949,275-204,#FF907F,TL,MTG,4146,MTG-i,R,2,32.589,2.37,7.3,H15601,25.44,24.75,24.18,25.63,0
S020256_L4.LB20,No,S020256,4965,275-204,#FF7462,PL,Pcu,4124,Pcu-i,R,2,53.933,2.13,7.5,H16345,23.84,26.12,25.75,24.28,0.01
S020257_L8.LB23,No,S020257,4973,275-204,#E87751,OL,pest_V2,4186,Cun-pest,L,2,33.805,2.68,7.7,H15602,23.32,26.81,26.12,23.74,0
S020259_L5.LB1,No,S020259,4989,275-204,#E88051,OL,str_V1,4194,LiG-str,L,2,28.49,1.91,8.4,H15602,25.05,25.17,24.43,25.34,0
S020260_L7.LB12,No,S020260,4902,275-204,#E88051,OL,str_V1,4197,LiG-str,R,2,31.933,2.14,8.3,H15601,25.24,24.8,24.31,25.65,0
S020262_L8.LB20,No,S020262,4918,275-204,#FF5D62,PL,AnG-i,4114,AnG-i,L,2,34.864,1.83,8.1,H15602,24.84,25.23,24.61,25.31,0
S020263_L4.LB19,No,S020263,4926,275-204,#FF907F,TL,MTG,4142,MTG-s,L,2,32.718,2.38,8,H15602,25.4,24.72,24.04,25.84,0
S020266_L2.LB11,No,S020266,4950,275-204,#FF8D7F,TL,ITG,4153,ITG-its,R,2,30.17,0.95,8.6,H15601,24.93,25.09,24.6,25.37,0
S020267_L2.LB8,No,S020267,4958,275-204,#E88051,OL,pest_V2,4196,LiG-pest,R,2,33.831,1.99,8.3,H15601,25.54,24.76,23.86,25.84,0
S020270_L1.LB1,No,S020270,4982,275-204,#FF8D7F,TL,ITG,4149,ITG-its,L,2,33.213,2.27,8.5,H15602,25.57,24.6,23.82,26,0.01
S020272_L5.LB3,No,S020272,5017,275-204,#E8D659,FL,PrG,4019,PrG-il,R,2,33.079,4.45,7.2,H15601,25.38,24.81,24.21,25.6,0
S020275_L8.LB22,No,S020275,5041,275-204,#FF6C62,PL,PoG-l,4093,PoG-sl,R,2,31.776,2.37,6.7,H15602,25.41,24.79,24.04,25.76,0
S020277_L4.LB20,No,S020277,5057,275-204,#E8D959,FL,SFG-m,4026,SFG-m,R,2,33.859,2.25,7.1,H15601,25.3,24.76,24.3,25.64,0
S020279_L5.LB4,No,S020279,5073,275-204,#7F5B33,CgG,CgG,4224,CgGf-i,L,2,29.136,4.08,7.6,H15602,25.29,24.93,24.23,25.55,0
S020291_L8.LB15,No,S020291,5074,275-204,#E8CD59,FL,MFG,4031,MFG-i,L,2,35.679,3.05,7.4,H16345,25.16,24.96,24.45,25.44,0
S020331_L5.LB2,No,S020331,5129,275-205,#9C53E8,GP,GP,4295,GPe,L,2,32.531,2.58,7.1,H15601,25.47,24.6,24.16,25.76,0
S020335_L6.LB9,No,S020335,5161,275-209,#BF934C,PHG,PHG,4248,PHG-cos,R,2,30.795,1.69,8.6,H15602,26.05,24.25,23.27,26.43,0
S020337_L7.LB18,No,S020337,5177,275-205,#FF877F,TL,FuG-its,4158,FuG-its,L,2,33.474,1.24,8.1,H15602,25.52,24.69,23.81,25.98,0
S020340_L1.LB27,No,S020340,5106,275-207,#BF934C,PHG,PHG,4245,PHG-cos,L,2,40.179,2.05,8.4,H15602,26.01,24.23,23.42,26.33,0.01
S020341_L1.LB5,No,S020341,5114,275-205,#FF7B62,PL,SPL,4099,SPL-i,L,2,29.442,3.23,8.1,H15602,25.51,24.8,23.96,25.72,0.01
S020342_L1.LB2,No,S020342,5122,275-207,#FF5D62,PL,AnG-s,4113,AnG-s,L,2,30.055,2.61,8.7,H15602,25.7,24.43,23.76,26.1,0.01
S020343_L6.LB10,No,S020343,5130,275-205,#FF5D62,PL,AnG-i,4114,AnG-i,L,2,34.825,2.18,8.4,H15601,25.55,24.53,24.02,25.9,0
S020344_L4.LB23,No,S020344,5138,275-209,#FF6C62,PL,PoG-l,4094,PoG-il,R,2,31.022,1.39,6.7,H15601,25.58,24.57,23.94,25.91,0
S020347_L7.LB10,No,S020347,5162,275-205,#FF5D62,PL,SMG-i,4110,SMG-i,R,2,56.055,1.85,6.9,H16345,25.02,24.96,24.59,25.43,0.01
S020348_L8.LB16,No,S020348,5170,275-205,#FF5D62,PL,SMG-i,4110,SMG-i,R,2,58.893,1.92,7,H16345,24.91,25.11,24.69,25.28,0
S020349_L3.LB18,No,S020349,5178,275-207,#E8D659,FL,PrG,4020,PrG-cs,R,2,35.104,2.16,7.3,H15602,25.34,24.75,24.08,25.83,0
