structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
9677,93,146507575,BS,"Sp5","spinal trigeminal nucleus, left",114477404,96,170,132,-5.0,-41.0,-61.0
9561,93,146507717,BS,"IO","inferior olivary complex, left",120824708,93,169,124,-2.0,-33.0,-60.0
9677,93,146507605,BS,"Sp5","spinal trigeminal nucleus, left",120823192,98,166,130,-7.0,-39.0,-57.0
9614,93,146507573,BS,"LMRt","lateral medullary reticular group, left",113855751,98,166,126,-7.0,-35.0,-57.0
9589,93,146507557,BS,"CMRt","central medullary reticular group, left",120823191,95,166,127,-4.0,-36.0,-57.0
9561,93,146507541,BS,"IO","inferior olivary complex, left",113855742,94,166,125,-3.0,-34.0,-57.0
9543,93,146507699,BS,"Cu","cuneate nucleus, left",113900390,96,166,132,-5.0,-41.0,-57.0
9525,93,146507621,BS,"CGS","central glial substance",114089994,92,166,130,-1.0,-39.0,-57.0
9677,93,146507635,BS,"Sp5","spinal trigeminal nucleus, left",120147764,96,162,134,-5.0,-43.0,-53.0
9642,93,146507619,BS,"RaM","raphe nuclei of medulla",120910758,91,162,134,0.0,-43.0,-53.0
9614,93,146507603,BS,"LMRt","lateral medullary reticular group, left",113855843,97,162,131,-6.0,-40.0,-53.0
9598,93,146507587,BS,"GiRt","gigantocellular group, left",120822945,92,162,134,-1.0,-43.0,-53.0
9589,93,146507667,BS,"CMRt","central medullary reticular group, left",120138927,94,162,134,-3.0,-43.0,-53.0
9561,93,146507571,BS,"IO","inferior olivary complex, left",113450698,94,163,127,-3.0,-36.0,-54.0
9555,93,146507651,BS,"Gr","gracile nucleus, left",120870953,92,161,139,-1.0,-48.0,-52.0
9543,93,146507555,BS,"Cu","cuneate nucleus, left",113908327,95,161,137,-4.0,-46.0,-52.0
9520,93,146507539,BS,"Arc","arcuate nucleus of medulla, left",113902748,95,164,122,-4.0,-31.0,-55.0
9492,92,146022014,BS,"Pn","pontine nuclei, left",113855575,98,142,114,-7.0,-23.0,-33.0
9178,92,146022030,BS,"SOC","superior olivary complex, left",116841438,100,141,126,-9.0,-35.0,-32.0
9161,92,146021996,BS,"PRF","pontine reticular formation, left",114559906,93,141,129,-2.0,-38.0,-32.0
4308,7,127687508,CX,"nbM","basal nucleus of meynert, left",114356722,108,121,87,-17.0,4.0,-12.0
9698,92,146022010,BS,"8Ve","vestibular nuclei, left",116911428,99,147,127,-8.0,-36.0,-38.0
9158,92,146021992,BS,"RPn","pontine raphe nucleus, left",116028074,92,147,126,-1.0,-35.0,-38.0
9642,92,146021948,BS,"RaM","raphe nuclei of medulla",119923211,91,156,126,0.0,-35.0,-47.0
9520,92,146021900,BS,"Arc","arcuate nucleus of medulla, left",120028854,92,157,122,-1.0,-31.0,-48.0
9492,92,146022076,BS,"Pn","pontine nuclei, left",113450775,93,159,118,-2.0,-27.0,-50.0
9677,92,146021978,BS,"Sp5","spinal trigeminal nucleus, left",114709366,97,150,131,-6.0,-40.0,-41.0
9561,92,146022060,BS,"IO","inferior olivary complex, left",112739136,93,151,127,-2.0,-36.0,-42.0
9520,92,146022044,BS,"Arc","arcuate nucleus of medulla, left",116908654,93,152,122,-2.0,-31.0,-43.0
9143,92,146021898,BS,"7","facial motor nucleus, left",113855649,97,150,130,-6.0,-39.0,-41.0
9143,92,146022012,BS,"7","facial motor nucleus, left",120403074,96,150,130,-5.0,-39.0,-41.0
9492,91,139428011,BS,"Pn","pontine nuclei, left",113849780,100,140,118,-9.0,-27.0,-31.0
9492,91,139428045,BS,"Pn","pontine nuclei, left",114128525,98,132,114,-7.0,-23.0,-23.0
9161,91,139428061,BS,"PRF","pontine reticular formation, left",114128421,93,131,126,-2.0,-35.0,-22.0
9146,91,139428077,BS,"LPB","lateral parabrachial nucleus, left",113762042,100,130,128,-9.0,-37.0,-21.0
9075,91,139428075,BS,"SNR","substantia nigra, pars reticulata, left",117277589,95,127,121,-4.0,-30.0,-18.0
9022,91,139428139,BS,"SubCn","subcuneiform nucleus, left",113748129,96,126,127,-5.0,-36.0,-17.0
4641,8,127687855,CX,"DMH","dorsomedial hypothalamic nucleus, left",113556744,100,111,98,-9.0,-7.0,-2.0
4440,10,139379729,CX,"LGd","dorsal lateral geniculate nucleus, left",111263691,117,114,117,-26.0,-26.0,-5.0
4288,10,139379898,CX,"Pu","putamen, left",113266299,129,111,117,-38.0,-26.0,-2.0
4281,10,139379882,CX,"TCd","tail of caudate nucleus, left",1406550,127,114,117,-36.0,-26.0,-5.0
4257,10,139379850,CX,"CA4","CA4 field, left",112954868,121,118,117,-30.0,-26.0,-9.0
4255,10,139379810,CX,"CA2","CA2 field, left",113044491,126,116,117,-35.0,-26.0,-7.0
4440,10,139379780,CX,"LGd","dorsal lateral geniculate nucleus, left",111263692,116,114,117,-25.0,-26.0,-5.0
4257,10,139379764,CX,"CA4","CA4 field, left",113266083,120,118,117,-29.0,-26.0,-9.0
9079,10,139379762,CX,"PTec","pretectal region",113615317,103,104,117,-12.0,-26.0,5.0
9004,10,139379880,CX,"CGMB","central gray substance of midbrain, left",111350082,100,105,117,-9.0,-26.0,4.0
4437,10,139379848,CX,"ILc","caudal group of intralaminar nuclei, left",112613974,105,101,117,-14.0,-26.0,8.0
4417,10,139379792,CX,"DTLv","lateral group of nuclei, left, ventral division",112946261,112,99,117,-21.0,-26.0,10.0
4409,10,139379776,CX,"DTLd","lateral group of nuclei, left, dorsal division",111353032,108,99,117,-17.0,-26.0,10.0
4400,10,139379760,CX,"DTM","medial group of nuclei, left",112954512,101,95,117,-10.0,-26.0,14.0
4288,10,139379725,CX,"Pu","putamen, left",113186801,122,102,118,-31.0,-27.0,7.0
9004,10,139379896,CX,"CGMB","central gray substance of midbrain, left",113819219,99,105,117,-8.0,-26.0,4.0
4444,10,139379727,CX,"MG","medial geniculate complex, left",113819220,110,111,117,-19.0,-26.0,-2.0
9074,9,139379908,CX,"SNC","substantia nigra, pars compacta, left",111937781,104,119,109,-13.0,-18.0,-10.0
9054,9,139379774,CX,"RN","red nucleus, left",111937779,98,118,109,-7.0,-18.0,-9.0
9031,9,139379862,CX,"3","oculomotor nuclear complex, left",111938333,93,117,109,-2.0,-18.0,-8.0
4518,9,139379892,CX,"Sb","subthalamic nucleus, left",111887279,107,111,109,-16.0,-18.0,-2.0
4507,9,139379876,CX,"ZI","zona incerta, left",111938330,107,112,109,-16.0,-18.0,-3.0
4506,9,139379860,CX,"R","reticular nucleus of thalamus, left",112157619,111,98,109,-20.0,-18.0,11.0
4437,9,139379806,CX,"ILc","caudal group of intralaminar nuclei, left",112147668,99,105,109,-8.0,-18.0,4.0
4409,9,139379894,CX,"DTLd","lateral group of nuclei, left, dorsal division",113819304,105,89,109,-14.0,-18.0,20.0
4400,9,139379804,CX,"DTM","medial group of nuclei, left",112158317,98,96,109,-7.0,-18.0,13.0
4296,9,139379788,CX,"GPi","globus pallidus, internal segment, left",112322075,113,112,109,-22.0,-18.0,-3.0
4288,9,139379756,CX,"Pu","putamen, left",112148292,122,108,109,-31.0,-18.0,1.0
9708,11,139379890,CX,"CPLV","choroid plexus of the lateral ventricle",113075242,119,102,129,-28.0,-38.0,7.0
4532,11,139379874,CX,"PIN","pineal gland",113512322,104,112,129,-13.0,-38.0,-3.0
4409,11,139379858,CX,"DTLd","lateral group of nuclei, left, dorsal division",113042947,109,105,129,-18.0,-38.0,4.0
4257,11,139379786,CX,"CA4","CA4 field, left",113213777,115,104,129,-24.0,-38.0,5.0
4258,11,139379802,CX,"DG","dentate gyrus, left",112429620,114,105,129,-23.0,-38.0,4.0
4282,11,139379842,CX,"BCd","body of caudate nucleus, left",113074648,124,98,129,-33.0,-38.0,11.0
4256,11,139379906,CX,"CA3","CA3 field, left",113355697,114,104,129,-23.0,-38.0,5.0
4409,11,139379721,CX,"DTLd","lateral group of nuclei, left, dorsal division",113509827,108,105,129,-17.0,-38.0,4.0
4120,12,126435041,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",112191395,104,48,138,-13.0,-47.0,61.0
4237,12,126435073,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",112191356,93,76,138,-2.0,-47.0,33.0
4099,12,126435137,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",112191642,131,57,139,-40.0,-48.0,52.0
4099,12,126435105,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",112191641,132,54,139,-41.0,-48.0,55.0
4120,14,126435011,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",112725872,94,51,159,-3.0,-68.0,58.0
4099,14,126434979,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",112725870,111,73,160,-20.0,-69.0,36.0
4098,14,126435153,CX,"SPL-s","superior parietal lobule, left, superior bank of gyrus",112725871,109,39,159,-18.0,-68.0,70.0
4114,14,126435027,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",112708384,132,57,161,-41.0,-70.0,52.0
4194,14,126435091,CX,"LiG-str","lingual gyrus, left, striate",112718485,97,106,158,-6.0,-67.0,3.0
4193,14,126435059,CX,"LiG-pest","lingual gyrus, left, peristriate",112718482,108,111,158,-17.0,-67.0,-2.0
4200,14,126435155,CX,"OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",112797082,127,116,160,-36.0,-69.0,-7.0
4120,15,126434997,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",112731857,97,54,172,-6.0,-81.0,55.0
4201,15,126435125,CX,"OTG-i","occipito-temporal gyrus, left, inferior bank of gyrus",112731491,120,126,173,-29.0,-82.0,-17.0
4193,15,126435093,CX,"LiG-pest","lingual gyrus, left, peristriate",112731490,99,124,171,-8.0,-80.0,-15.0
4194,16,126435095,CX,"LiG-str","lingual gyrus, left, striate",112783485,92,116,184,-1.0,-93.0,-7.0
4214,16,126435063,CX,"SOG-s","superior occipital gyrus, left, superior bank of gyrus",112782883,112,79,182,-21.0,-91.0,30.0
4120,13,126435009,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",112193675,100,61,149,-9.0,-58.0,48.0
4194,13,126434532,CX,"LiG-str","lingual gyrus, left, striate",112196093,110,106,150,-19.0,-59.0,3.0
4121,13,126434469,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",112194048,94,97,149,-3.0,-58.0,12.0
4172,13,126434359,CX,"PLT","planum temporale, left",112193967,148,81,151,-57.0,-60.0,28.0
4135,13,126434583,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",112193968,153,85,151,-62.0,-60.0,24.0
4107,13,126434565,CX,"SMG-i","supramarginal gyrus, left, inferior bank of gyrus",112193966,149,68,152,-58.0,-61.0,41.0
4151,13,126434472,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",112193023,150,108,150,-59.0,-59.0,1.0
4143,12,126434329,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",112191704,157,113,139,-66.0,-48.0,-4.0
4230,9,126434399,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",1408337,98,63,109,-7.0,-18.0,46.0
4074,9,126434381,CX,"PCLa-i","paracentral lobule, anterior part, left, inferior bank of gyrus",1408338,98,59,109,-7.0,-18.0,50.0
4030,7,126434326,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",1407328,121,53,86,-30.0,5.0,56.0
4230,11,126434502,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",111795932,96,74,129,-5.0,-38.0,35.0
4120,11,126434483,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",111795933,93,57,129,-2.0,-38.0,52.0
4159,11,126434463,CX,"FuG-l","fusiform gyrus, left, lateral bank of gyrus",111795831,120,128,129,-29.0,-38.0,-19.0
4149,11,126434397,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",111795833,144,134,129,-53.0,-38.0,-25.0
4143,11,126434527,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",111796073,160,127,129,-69.0,-38.0,-18.0
4160,10,126434322,CX,"FuG-cos","fusiform gyrus, left, bank of cos",111794095,126,130,117,-35.0,-26.0,-21.0
4149,10,126434557,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",111794097,137,133,117,-46.0,-26.0,-24.0
4151,10,126434437,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",111794576,151,137,117,-60.0,-26.0,-28.0
4150,10,126434411,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",111794577,150,146,117,-59.0,-26.0,-37.0
4143,10,126434395,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",111794575,154,136,117,-63.0,-26.0,-27.0
4087,9,126432591,CX,"PoG-cs","postcentral gyrus, left, bank of the central sulcus",1408334,141,57,109,-50.0,-18.0,52.0
4087,9,126434993,CX,"PoG-cs","postcentral gyrus, left, bank of the central sulcus",1408334,140,57,109,-49.0,-18.0,52.0
4014,9,126432558,CX,"PrG-il","precentral gyrus, left, inferior lateral aspect of gyrus",1408332,134,42,108,-43.0,-17.0,67.0
4088,9,126432608,CX,"PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",1408341,155,68,109,-64.0,-18.0,41.0
4150,9,126432640,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",1408353,156,141,109,-65.0,-18.0,-32.0
4151,9,126432507,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1408347,154,134,109,-63.0,-18.0,-25.0
4024,8,126432570,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",1407922,113,56,96,-22.0,-5.0,53.0
4088,8,126432487,CX,"PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",1407856,159,81,97,-68.0,-6.0,28.0
4014,8,126432636,CX,"PrG-il","precentral gyrus, left, inferior lateral aspect of gyrus",1407853,152,69,97,-61.0,-6.0,40.0
4178,8,126432556,CX,"PLP","planum polare, left",1407831,142,119,97,-51.0,-6.0,-10.0
4160,8,126432505,CX,"FuG-cos","fusiform gyrus, left, bank of cos",1407821,119,151,98,-28.0,-7.0,-42.0
4150,8,126432622,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",1407820,134,156,98,-43.0,-7.0,-47.0
4151,8,126432521,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1407863,145,146,97,-54.0,-6.0,-37.0
4178,7,126432184,CX,"PLP","planum polare, left",1407366,149,117,86,-58.0,5.0,-8.0
4178,7,126432150,CX,"PLP","planum polare, left",1407362,151,115,86,-60.0,5.0,-6.0
4178,7,126432501,CX,"PLP","planum polare, left",1407362,150,115,86,-59.0,5.0,-6.0
4142,7,126432134,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",1407360,148,132,86,-57.0,5.0,-23.0
4151,7,126432072,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1407343,132,150,86,-41.0,5.0,-41.0
4288,7,126432517,CX,"Pu","putamen, left",1404174,114,97,88,-23.0,3.0,12.0
4282,7,126432120,CX,"BCd","body of caudate nucleus, left",1404173,104,89,88,-13.0,3.0,20.0
4223,7,126432088,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",1407321,99,71,88,-8.0,3.0,38.0
4288,6,126432230,CX,"Pu","putamen, left",1403563,112,106,77,-21.0,14.0,3.0
4178,6,126431691,CX,"PLP","planum polare, left",1404070,144,120,77,-53.0,14.0,-11.0
4903,6,126431723,CX,"TP-s","temporal pole, left, superior aspect",1403544,116,146,78,-25.0,13.0,-37.0
